Source_row,Species_key,Source_citation,Source_publication_year,Resolution_status
1496,Onychodactylus zhaoermii,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
1503,Onychodactylus zhaoermii,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
1511,Onychodactylus zhaoermii,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
1450,Opisthotropis hungtai,"Jian Wang and Zhi-Tong Lyu and Zhao-Chi Zeng and Chao-Yu Lin and Jian-Huan Yang and Truong Quang Nguyen and Minh D. Le and Thomas Ziegler and Ying-Yong Wang (2020). Re-examination of the Chinese record of Opisthotropis maculosa (Squamata, Natricidae), resulting in the first national record of O. haihaensis and description of a new species ZooKeys, 913, 141–159 https://doi.org/10.3897/zookeys.913.48622",2020,removed_duplicate_new_species_row
1452,Opisthotropis hungtai,"Jian Wang and Zhi-Tong Lyu and Zhao-Chi Zeng and Chao-Yu Lin and Jian-Huan Yang and Truong Quang Nguyen and Minh D. Le and Thomas Ziegler and Ying-Yong Wang (2020). Re-examination of the Chinese record of Opisthotropis maculosa (Squamata, Natricidae), resulting in the first national record of O. haihaensis and description of a new species ZooKeys, 913, 141–159 https://doi.org/10.3897/zookeys.913.48622",2020,removed_duplicate_new_species_row
1467,Opisthotropis hungtai,"Jian Wang and Zhi-Tong Lyu and Zhao-Chi Zeng and Chao-Yu Lin and Jian-Huan Yang and Truong Quang Nguyen and Minh D. Le and Thomas Ziegler and Ying-Yong Wang (2020). Re-examination of the Chinese record of Opisthotropis maculosa (Squamata, Natricidae), resulting in the first national record of O. haihaensis and description of a new species ZooKeys, 913, 141–159 https://doi.org/10.3897/zookeys.913.48622",2020,removed_duplicate_new_species_row
1469,Opisthotropis hungtai,"Jian Wang and Zhi-Tong Lyu and Zhao-Chi Zeng and Chao-Yu Lin and Jian-Huan Yang and Truong Quang Nguyen and Minh D. Le and Thomas Ziegler and Ying-Yong Wang (2020). Re-examination of the Chinese record of Opisthotropis maculosa (Squamata, Natricidae), resulting in the first national record of O. haihaensis and description of a new species ZooKeys, 913, 141–159 https://doi.org/10.3897/zookeys.913.48622",2020,removed_duplicate_new_species_row
936,Oreolalax longmenmontis,"Yinmeng Hou and Shengchao Shi and Daming Hu and Yue Deng and Jianping Jiang and Feng Xie and Bin Wang (2020). A new species of the toothed toad Oreolalax (Anura, Megophryidae) from Sichuan Province, China ZooKeys, 929, 93–115 https://doi.org/10.3897/zookeys.929.49748",2020,removed_duplicate_new_species_row
1605,Oreolalax longmenmontis,"Yinmeng Hou and Shengchao Shi and Daming Hu and Yue Deng and Jianping Jiang and Feng Xie and Bin Wang (2020). A new species of the toothed toad Oreolalax (Anura, Megophryidae) from Sichuan Province, China ZooKeys, 929, 93–115 https://doi.org/10.3897/zookeys.929.49748",2020,removed_duplicate_new_species_row
1694,Oreolalax yanyuanensis,"Yin Meng Hou and Pu Yang Zheng and Hao Qi Yu and Bin Wang and Xiao Hong Chen and Feng Xie (2020). A new toad of Oreolalax Myers & Leviton, 1962 (Anura, Megophryidae) from Sichuan Province, southwest China Life Science https://doi.org/10.3897/zookeys.1212.122222",2020,removed_duplicate_new_species_row
150,Ovophis jenkinsi,"Xian-Chun Qiu and Jin-Ze Wang and Zu-Yao Xia and Zhong-Wen Jiang and Yan Zeng and Nan Wang and Pi-Peng Li and Jing-Song Shi (2024). A new mountain pitviper of the genus Ovophis Burger in Hoge & Romano-Hoge, 1981 (Serpentes, Viperidae) from Yunnan, China https://doi.org/10.3897/zookeys.1203.119218",2024,removed_duplicate_new_species_row
399,Pachytriton cheni,"Zhirong He and Siyu Wu and Shanqing Wang and Li Ma and Na Zhao and Xiaobing Wu and Supen Wang (2025). A New Species of Pachytriton (Amphibia: Caudata: Salamandridae) from Anhui, China Animals, 15, 3018 https://doi.org/10.3390/ani15203018",2025,removed_duplicate_new_species_row
1673,Paramegophrys aspera,"Jian Wang and Zhi-Tong Lyu and Shuo Qi and Zhao-Chi Zeng and Wen-Xiang Zhang and Long-Shan Lu and Ying-Yong Wang (2020). Two new Leptobrachella species (Anura, Megophryidae) from the Yunnan-Guizhou Plateau, southwestern China ZooKeys, 995, 97–125 https://doi.org/10.3897/zookeys.955.55939",2020,removed_duplicate_new_species_row
1680,Paramegophrys aspera,"Jian Wang and Zhi-Tong Lyu and Shuo Qi and Zhao-Chi Zeng and Wen-Xiang Zhang and Long-Shan Lu and Ying-Yong Wang (2020). Two new Leptobrachella species (Anura, Megophryidae) from the Yunnan-Guizhou Plateau, southwestern China ZooKeys, 995, 97–125 https://doi.org/10.3897/zookeys.955.55939",2020,removed_duplicate_new_species_row
