Duplicate_group_id,Group_size,Species_key,New_distribution_province,Source_row,Source_publication_year,Resolution_status,Retained_source_row,Source_citation
DUP010,2,Boiga stoliczkae,西藏,1000,2023,removed_later_duplicate,999,Unknown Author (2023). Biodiversity Data Journal 12: e123669 doi: 10. Biodiversity Data Journal https://doi.org/10.3897/BDJ.12.e123669
DUP011,2,Boulenophrys boettgeri,湖北,1778,2011,removed_later_duplicate,1780,"戴宗兴、张洪茂、周权、刘绪生 (2011). 湖北省两栖动物资源概况 四川动物, 30(1), 144-147 https://doi.org/10.3969/j.issn.1000-7083.2011.01.036"
DUP011,2,Boulenophrys boettgeri,湖北,1780,2009,retained,1780,"戴宗兴、李神斌、郑志章、龚仁琥、刘绪生 (2009). 湖北省两栖类新纪录———淡肩角蟾、短肢角蟾 四川动物, 28(2), 291-291"
DUP012,2,Boulenophrys brachykolos,湖北,1779,2011,removed_later_duplicate,1784,"戴宗兴、张洪茂、周权、刘绪生 (2011). 湖北省两栖动物资源概况 四川动物, 30(1), 144-147 https://doi.org/10.3969/j.issn.1000-7083.2011.01.036"
DUP012,2,Boulenophrys brachykolos,湖北,1784,2009,retained,1784,"戴宗兴、李神斌、郑志章、龚仁琥、刘绪生 (2009). 湖北省两栖类新纪录———淡肩角蟾、短肢角蟾 四川动物, 28(2), 291-291"
DUP013,2,Boulenophrys mirabilis,湖南,519,2024,retained；同最早年多条，保留行序最先者，需人工裁定,519,"张志强, 周琳, 刘佳昱, 李辉, 莫小阳, 王建军, & 杨盛东 (2024). 湖南南山国家公园发现花坪角蟾 动物学杂志, 59(2), 269-275 https://doi.org/10.13859/j.cjz.202423123"
DUP013,2,Boulenophrys mirabilis,湖南,1947,2024,removed_later_duplicate,519,"张志强, 周琳, 刘佳昱, 李辉, 莫小阳, 王建军, & 杨盛东 (2024). 湖南南山国家公园发现花坪角蟾 动物学杂志, 59(2), 269-275 https://doi.org/10.13859/j.cjz.202423123"
DUP014,2,Boulenophrys sangzhiensis,湖北,1952,2025,retained；同最早年多条，保留行序最先者，需人工裁定,1952,
DUP014,2,Boulenophrys sangzhiensis,湖北,2013,2025,removed_later_duplicate,1952,
DUP015,2,Bufo rubroventromaculatus,广东,2060,2025,retained；同最早年多条，保留行序最先者，需人工裁定,2060,黄忠、王昊天、齐硕、宋晗铭、邓振海、李友余、莫运明、王英永 (2025) 动物学杂志 Chinese Journal of Zoology 10.13859/j.cjz.202525035
DUP015,2,Bufo rubroventromaculatus,广东,2061,2025,removed_later_duplicate,2060,黄忠、王昊天、齐硕、宋晗铭、邓振海、李友余、莫运明、王英永 (2025) 动物学杂志 Chinese Journal of Zoology 10.13859/j.cjz.202525035
DUP016,2,Bufo rubroventromaculatus,广西,1329,2024,retained；同最早年多条，保留行序最先者，需人工裁定,1329,"Shuo Liu and Mian Hou and Mingzhong Mo and Dingqi Rao (2024). First confirmed record of Bufo rubroventromaculatus Orlov, Ananjeva, Ermakov, Lukonina, Ninh & Nguyen, 2024 (Anura, Bufonidae) from China, with supplementary description of this species Biodiversity Data Journal, 12 https://doi.org/10.3897/BDJ.12.e134392"
DUP016,2,Bufo rubroventromaculatus,广西,1815,2024,removed_later_duplicate,1329,"Shuo Liu and Mian Hou and Mingzhong Mo and Dingqi Rao (2024). First confirmed record of Bufo rubroventromaculatus Orlov, Ananjeva, Ermakov, Lukonina, Ninh & Nguyen, 2024 (Anura, Bufonidae) from China, with supplementary description of this species Biodiversity Data Journal, 12 https://doi.org/10.3897/BDJ.12.e134392"
