table,species,field,value,matched_name,via
events,Sphenomorphus incognitus,CHINA_RED_LIST,LC,Sphenomorphus incognitus,拉丁名精确(现行名)
events,Nidirana mangveni,CHINA_RED_LIST,LC,Nidirana mangveni,拉丁名精确(现行名)
events,Pachytriton wuguanfui,CHINA_RED_LIST,NT,Pachytriton wuguanfui,拉丁名精确(现行名)
events,Bombina fortinuptialis,CHINA_RED_LIST,VU,Bombina fortinuptialis,拉丁名精确(现行名)
events,Nidirana xiangica,CHINA_RED_LIST,LC,Nidirana xiangica,拉丁名精确(现行名)
events,Theloderma corticale,CHINA_RED_LIST,NT,Theloderma corticale,拉丁名精确(现行名)
events,Ptyas multicinctus,CHINA_RED_LIST,NT,Cyclophiops multicinctus,拉丁名精确(发表名)
events,Zhangixalus leucofasciatus,CHINA_RED_LIST,VU,Rhacophorus leucofasciatus,拉丁名精确(发表名)
events,Hylarana taipehensis,CHINA_RED_LIST,NT,Hylarana taipehensis,拉丁名精确(现行名)
events,Scutiger liupanensis,CHINA_RED_LIST,VU,Scutiger liupanensis,拉丁名精确(现行名)
events,Elaphe zoigeensis,CHINA_RED_LIST,LC,Elaphe zoigeensis,拉丁名精确(现行名)
events,Ingerophrynus ledongensis,CHINA_RED_LIST,EN,Qiongbufo ledongensis,中文名精确
events,Ingerophrynus ledongensis,Protection,二级,Qiongbufo ledongensis,中文名精确
events,Rana longicus,CHINA_RED_LIST,LC,Rana longicus,拉丁名精确(现行名)
events,Lycodon liuchengchaoi,CHINA_RED_LIST,LC,Lycodon liuchengchaoi,拉丁名精确(现行名)
events,Gonyosoma boulengeri,CHINA_RED_LIST,VU,Gonyosoma boulengeri,拉丁名精确(现行名)
events,Gonyosoma boulengeri,Protection,二级,Rhynchophis boulengeri,拉丁名精确(发表名)
events,Chirixalus doriae,CHINA_RED_LIST,LC,Chiromantis doriae,种加词词干
events,Lycodon futsingensis,CHINA_RED_LIST,LC,Lycodon futsingensis,拉丁名精确(现行名)
events,Oligodon bivirgatus,CHINA_RED_LIST,NT,Oligodon catenatus,中文名精确
events,Ovophis tonkinensis,CHINA_RED_LIST,LC,Ovophis tonkinensis,拉丁名精确(现行名)
events,Hebius bitaeniatum,CHINA_RED_LIST,NT,Hebius bitaeniatus,中文名精确
events,Paramegophrys ventripunctatus,CHINA_RED_LIST,LC,Paramegophrys ventripunctatus,拉丁名精确(现行名)
events,Achalinus yunkaiensis,CHINA_RED_LIST,LC,Achalinus yunkaiensis,拉丁名精确(现行名)
events,Theloderma gordoni,CHINA_RED_LIST,DD,Theloderma gordoni,拉丁名精确(现行名)
events,Nidirana leishanensis,CHINA_RED_LIST,LC,Nidirana leishanensis,拉丁名精确(现行名)
events,Ovophis tonkinensis,CHINA_RED_LIST,LC,Ovophis tonkinensis,拉丁名精确(现行名)
events,Rana hanluica,CHINA_RED_LIST,NT,Rana hanluica,拉丁名精确(现行名)
events,Archelaphe bella,CHINA_RED_LIST,VU,Archelaphe bella,拉丁名精确(现行名)
events,Lycodon gongshan,CHINA_RED_LIST,NT,Lycodon gongshan,拉丁名精确(现行名)
events,Xenophrys omeimontis,CHINA_RED_LIST,VU,Xenophrys omeimontis,拉丁名精确(现行名)
events,Lycodon fasciatus,CHINA_RED_LIST,LC,Lycodon fasciatus,拉丁名精确(现行名)
events,Rhabdophis nuchalis,CHINA_RED_LIST,LC,Rhabdophis nuchalis,拉丁名精确(现行名)
events,Sibynophis chinensis,CHINA_RED_LIST,LC,Sibynophis chinensis,拉丁名精确(现行名)
events,Lycodon liuchengchaoi,CHINA_RED_LIST,LC,Lycodon liuchengchaoi,拉丁名精确(现行名)
events,Scincella modesta,CHINA_RED_LIST,LC,Scincella modesta,拉丁名精确(现行名)
events,Diploderma micangshanense,CHINA_RED_LIST,LC,Diploderma micangshanense,拉丁名精确(现行名)
events,Micryletta inornata,CHINA_RED_LIST,VU,Micryletta inornata,拉丁名精确(现行名)
events,Theloderma albopunctatum,CHINA_RED_LIST,NT,Theloderma albopunctatum,拉丁名精确(现行名)
