table,species,field,value,matched_name,via
new_species,Calotes versicolor,CHINA_RED_LIST,LC,Calotes versicolor,拉丁名精确(发表名)
new_species,Diploderma iadinum,CHINA_RED_LIST,DD,Diploderma iadinum,拉丁名精确(现行名)
new_species,Goniurosaurus kadoorieorum,CHINA_RED_LIST,EN,Goniurosaurus kadoorieorum,拉丁名精确(发表名)
new_species,Goniurosaurus kadoorieorum,Protection,二级,Goniurosaurus kadoorieorum,拉丁名精确(发表名)
new_species,Goniurosaurus kwangsiensis,CHINA_RED_LIST,VU,Goniurosaurus kwangsiensis,拉丁名精确(现行名)
new_species,Goniurosaurus kwangsiensis,Protection,二级,Goniurosaurus kwangsiensis,拉丁名精确(现行名)
new_species,Rhacophorus rhodopus,CHINA_RED_LIST,LC,Rhacophorus rhodopus,拉丁名精确(现行名)
new_species,Zhangixalus nigropunctatus,CHINA_RED_LIST,NT,Rhacophorus nigropunctatus,中文名精确
new_species,Paramesotriton longliensis,CHINA_RED_LIST,EN,Paramesotriton longliensis,拉丁名精确(现行名)
new_species,Paramesotriton longliensis,Protection,二级,Paramesotriton longliensis,拉丁名精确(现行名)
new_species,Gekko guishanicus,CHINA_RED_LIST,LC,Gekko guishanicus,拉丁名精确(现行名)
new_species,Yaotriton liuyangensis,CHINA_RED_LIST,VU,Yaotriton liuyangensis,拉丁名精确(现行名)
new_species,Yaotriton liuyangensis,Protection,二级,Yaotriton liuyangensis,拉丁名精确(现行名)
new_species,Nasutixalus yingjiangensis,CHINA_RED_LIST,DD,Nasutixalus yingjiangensis,拉丁名精确(现行名)
new_species,Amolops tuanjieensis,CHINA_RED_LIST,DD,Amolops tuanjieensis,拉丁名精确(现行名)
new_species,Boulenophrys sangzhiensis,CHINA_RED_LIST,EN,Xenophrys sangzhiensis,中文名精确
new_species,Pareas boulengeri,CHINA_RED_LIST,LC,Pareas boulengeri,拉丁名精确(现行名)
new_species,Odorrana schmackeri,CHINA_RED_LIST,LC,Odorrana schmackeri,拉丁名精确(现行名)
new_species,Diploderma drukdaypo,CHINA_RED_LIST,VU,Diploderma drukdaypo,拉丁名精确(现行名)
new_species,Diploderma drukdaypo,Protection,二级,Diploderma drukdaypo,拉丁名精确(现行名)
new_species,Tylototriton yangi,CHINA_RED_LIST,EN,Tylototriton yangi,拉丁名精确(现行名)
new_species,Tylototriton yangi,Protection,二级,Tylototriton yangi,拉丁名精确(现行名)
new_species,Amolops nyingchiensis,CHINA_RED_LIST,LC,Amolops nyingchiensis,拉丁名精确(现行名)
new_species,Hemiphyllodactylus changningensis,CHINA_RED_LIST,DD,Hemiphyllodactylus changningensis,拉丁名精确(现行名)
new_species,Buergeria otai,CHINA_RED_LIST,DD,Buergeria otai,拉丁名精确(现行名)
new_species,Limnonectes longchuanensis,CHINA_RED_LIST,VU,Limnonectes longchuanensis,拉丁名精确(现行名)
new_species,Phrynocephalus forsythii,CHINA_RED_LIST,NT,Phrynocephalus forsythii,拉丁名精确(现行名)
new_species,Amolops albispinus,CHINA_RED_LIST,VU,Amolops albispinus,拉丁名精确(现行名)
new_species,Kurixalus berylliniris,CHINA_RED_LIST,DD,Kurixalus berylliniris,拉丁名精确(现行名)
new_species,Kurixalus wangi,CHINA_RED_LIST,DD,Kurixalus wangi,拉丁名精确(现行名)
new_species,Gekko bannaense,CHINA_RED_LIST,DD,Ptychozoon bannaense,拉丁名精确(发表名)
new_species,Opisthotropis shenzhenensis,CHINA_RED_LIST,EN,Opisthotropis shenzhenensis,拉丁名精确(现行名)
new_species,Liuixalus feii,CHINA_RED_LIST,DD,Liuixalus feii,拉丁名精确(现行名)
new_species,Opisthotropis zhaoermii,CHINA_RED_LIST,LC,Opisthotropis zhaoermii,拉丁名精确(现行名)
