species,IUCN_category,gbif_matched_name,gbif_match_type,query_used
Boulenophrys lishuiensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys lishuiensis
Boulenophrys meihuamontis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys meihuamontis
Boulenophrys mirabilis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys mirabilis
Boulenophrys mufumontana,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys mufumontana
Boulenophrys nankunensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys nankunensis
Boulenophrys nanlingensis,NE,"Boulenophrys nanlingensis (Lyu, Wang, Liu & Wang, 2019)",EXACT,Boulenophrys nanlingensis
Boulenophrys nebulosa,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys nebulosa
Boulenophrys obesa,CR,"Megophrys obesa Wang, Li & Zhao, 2014",EXACT,Megophrys obesa
Boulenophrys ombrophila,NE,"Boulenophrys ombrophila (Messenger & Dahn, 2019)",EXACT,Boulenophrys ombrophila
Boulenophrys qianbeiensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys qianbeiensis
Boulenophrys sangzhiensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys sangzhiensis
Boulenophrys shimentaina,NE,"Boulenophrys shimentaina (Lyu, Liu & Wang, 2020)",EXACT,Boulenophrys shimentaina
Boulenophrys tuberogranulatus,NE,"Boulenophrys tuberogranulatus (Shen, Mo & Li, 2010)",EXACT,Boulenophrys tuberogranulatus
Boulenophrys wugongensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys wugongensis
Boulenophrys wushanensis,NE,"Boulenophrys wushanensis (Ye & Fei, 1995)",EXACT,Boulenophrys wushanensis
Boulenophrys xiangnanensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys xiangnanensis
Boulenophrys xianjuensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys xianjuensis
Boulenophrys yangchunensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys yangchunensis
Boulenophrys yangmingensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys yangmingensis
Boulenophrys yunkaiensis,NE,"Boulenophrys yunkaiensis Qi, Lyu, Wang, Mo, Zeng, Zeng, Dai, Li, Grismer & Wang, 2021",EXACT,Boulenophrys yunkaiensis
Brachytarsophrys chuannanensis,NT,"Brachytarsophrys chuannanensis Fei, Ye & Huang, 2001",EXACT,Brachytarsophrys chuannanensis
Brachytarsophrys feae,LC,"Brachytarsophrys feae (Boulenger, 1887)",EXACT,Brachytarsophrys feae
Brachytarsophrys orientalis,NE,"Brachytarsophrys orientalis Li, Lyu, Wang & Wang, 2020",EXACT,Brachytarsophrys orientalis
Brachytarsophrys platyparietus,LC,"Brachytarsophrys platyparietus Rao & Yang, 1997",EXACT,Brachytarsophrys platyparietus
Brachytarsophrys wenshanensis,,"Brachytarsophrys Tian & Hu, 1983",HIGHERRANK,Brachytarsophrys wenshanensis
Buergeria otai,LC,"Buergeria otai Wang, Hsiao, Lee, Tseng, Lin, Komaki & Lin, 2018",EXACT,Buergeria otai
Bufo bufo,LC,"Bufo bufo (Linnaeus, 1758)",EXACT,Bufo bufo
Bufo exiguus,NE,"Bufo exiguus Qi, Lyu, Song, Wei, Zhong & Wang, 2023",EXACT,Bufo exiguus
Bufo rubroventromaculatus,NE,"Bufo Garsault, 1764",HIGHERRANK,Bufo rubroventromaculatus
Bufo stejnegeri,LC,"Bufo stejnegeri Schmidt, 1931",EXACT,Bufo stejnegeri
Bungarus fasciatus,LC,"Bungarus fasciatus (Schneider, 1801)",EXACT,Bungarus fasciatus
Bungarus suzhenae,NE,"Bungarus suzhenae Chen, Shi, Vogel, Ding & Shi, 2021",EXACT,Bungarus suzhenae
Calamaria arcana,DD,"Calamaria arcana Yeung, Lau & Yang, 2022",EXACT,Calamaria arcana
Calamaria jinggangensis,NE,"Calamaria H.Boie, 1827",HIGHERRANK,Calamaria jinggangensis
Calamaria septentrionalis,LC,"Calamaria septentrionalis Boulenger, 1890",EXACT,Calamaria septentrionalis
Calamaria synergis,NE,"Calamaria H.Boie, 1827",HIGHERRANK,Calamaria synergis
Calotes emma,LC,"Calotes emma Gray, 1845",EXACT,Calotes emma
Calotes irawadi,LC,"Calotes irawadi Zug, Brown, Schulte & Vindum, 2006",EXACT,Calotes irawadi
Calotes versicolor,LC,"Calotes versicolor (Daudin, 1802)",EXACT,Calotes versicolor
Calotes vindumbarbatus,NE,"Calotes vindumbarbatus Wagner, Ihlow, Hartmann, Flecks, Schmitz & Böhme, 2021",EXACT,Calotes vindumbarbatus
Calotes wangi,NE,"Calotes Cuvier, 1817",HIGHERRANK,Calotes wangi
Chelonia mydas,LC,"Chelonia mydas (Linnaeus, 1758)",EXACT,Chelonia mydas
Chirixalus doriae,LC,"Chirixalus doriae Boulenger, 1893",EXACT,Chirixalus doriae
Chirixalus vittatus,LC,"Chirixalus vittatus (Boulenger, 1887)",EXACT,Chirixalus vittatus
Cynops fudingensis,CR,"Cynops fudingensis Wu, Wang, Jiang & Hanken, 2010",EXACT,Cynops fudingensis
Cynops glaucus,CR,"Cynops glaucus Yuan, Jiang, Ding, Zhang & Che, 2013",EXACT,Cynops glaucus
Cynops huanggangensis,NE,"Cynops Tschudi, 1838",HIGHERRANK,Cynops huanggangensis
Cynops jiaoren,NE,"Cynops Tschudi, 1838",HIGHERRANK,Cynops jiaoren
Cynops oolong,NE,"Cynops Tschudi, 1838",HIGHERRANK,Cynops oolong
Cyrtodactylus hekouensis,NE,"Cyrtodactylus hekouensis Zhang, Liu, Bernstein, Wang & Yuan, 2021",EXACT,Cyrtodactylus hekouensis
Cyrtodactylus laevis,NE,"Cyrtodactylus Gray, 1827",HIGHERRANK,Cyrtodactylus laevis
Cyrtodactylus menglianensis,NE,"Cyrtodactylus menglianensis Liu & Rao, 2022",EXACT,Cyrtodactylus menglianensis
Cyrtodactylus nangunhe,NE,"Cyrtodactylus Gray, 1827",HIGHERRANK,Cyrtodactylus nangunhe
Cyrtodactylus tibetanus,LC,"Cyrtodactylus tibetanus (Boulenger, 1905)",EXACT,Cyrtodactylus tibetanus
Cyrtodactylus zhenkangensis,NE,"Cyrtodactylus zhenkangensis Liu & Rao, 2021",EXACT,Cyrtodactylus zhenkangensis
Dalianbatrachus mengi,NE,"Dalianbatrachus mengi Gao & Liu, 2004",EXACT,Dalianbatrachus mengi
