species,IUCN_category,gbif_matched_name,gbif_match_type,query_used
Pseudapibtocalamus,NE,Animalia,HIGHERRANK,Pseudapibtocalamus
Pseudocalotes jingpo,NE,"Pseudocalotes Fitzinger, 1843",HIGHERRANK,Pseudocalotes jingpo
Pseudohynobius guizhouensis,DD,"Pseudohynobius guizhouensis Li, Tian & Gu, 2010",EXACT,Pseudohynobius guizhouensis
Pseudohynobius jinfo,EN,"Pseudohynobius jinfo Wei, Xiong & Zeng, 2009",EXACT,Pseudohynobius jinfo
Pseudohynobius tsinpaensis,NE,"Pseudohynobius tsinpaensis (Liu & Hu, 1966)",EXACT,Pseudohynobius tsinpaensis
Pseudohynobius yunwuensis,NE,"Pseudohynobius Fei & Yang, 1983",HIGHERRANK,Pseudohynobius yunwuensis
Pseudoxenodon bambusicola,LC,"Pseudoxenodon bambusicola Vogt, 1922",EXACT,Pseudoxenodon bambusicola
Pseudoxenodon karlschmidti,LC,"Pseudoxenodon karlschmidti Pope, 1928",EXACT,Pseudoxenodon karlschmidti
Pseudoxenodon macrops,LC,"Pseudoxenodon macrops (Blyth, 1855)",EXACT,Pseudoxenodon macrops
Pseudoxenodon stejnegeri,LC,"Pseudoxenodon stejnegeri Barbour, 1908",EXACT,Pseudoxenodon stejnegeri
Ptyas dhumnades,LC,"Ptyas dhumnades (Cantor, 1842)",EXACT,Ptyas dhumnades
Ptyas major,LC,"Ptyas major (Günther, 1858)",EXACT,Ptyas major
Ptyas multicinctus,LC,"Ptyas multicincta (Roux, 1907)",FUZZY,Ptyas multicinctus
Ptyas nigromarginata,LC,"Ptyas nigromarginata (Blyth, 1854)",EXACT,Ptyas nigromarginata
Python molurus bivittatus,VU,"Python molurus bivittatus Kuhl, 1820",EXACT,Python molurus bivittatus
Quasipaa delacouri,LC,"Quasipaa delacouri (Angel, 1928)",EXACT,Quasipaa delacouri
Quasipaa exilispinosa,LC,"Quasipaa exilispinosa (Liu & Hu, 1975)",EXACT,Quasipaa exilispinosa
Quasipaa robertingeri,VU,"Quasipaa robertingeri (Wu & Zhao, 1995)",EXACT,Quasipaa robertingeri
Quasipaa verrucospinosa,LC,"Quasipaa verrucospinosa (Bourret, 1937)",EXACT,Quasipaa verrucospinosa
Quasipaa yunkaiensis,NE,"Quasipaa Dubois, 1992",HIGHERRANK,Quasipaa yunkaiensis
Rana chaochiaoensis,LC,"Rana chaochiaoensis Liu, 1946",EXACT,Rana chaochiaoensis
Rana coreana,LC,"Rana coreana Okada, 1928",EXACT,Rana coreana
Rana culaiensis,DD,"Rana culaiensis Li, Lu & Li, 2008",EXACT,Rana culaiensis
Rana dabieshanensis,DD,"Rana dabieshanensis Wang, Qian, Zhang, Guo, Pan, Wu, Wang & Zhang, 2017",EXACT,Rana dabieshanensis
Rana dybowskii,NT,"Rana dybowskii Günther, 1876",EXACT,Rana dybowskii
Rana hanluica,LC,"Rana hanluica Shen, Jiang & Yang, 2007",EXACT,Rana hanluica
Rana huanrenensis,LC,"Rana huanrenensis Fei, Ye & Huang, 1990",EXACT,Rana huanrenensis
Rana jiemuxiensis,DD,"Rana jiemuxiensis Yan, Jiang, Chen, Fang, Jin, Li, Wang, Murphy, Che & Zhang, 2011",EXACT,Rana jiemuxiensis
Rana jiulingensis,NE,"Rana jiulingensis Wan, Lyu & Wang, 2020",EXACT,Rana jiulingensis
Rana johnsi,LC,"Rana johnsi Smith, 1921",EXACT,Rana johnsi
Rana longicus,VU,"Rana longicrus Stejneger, 1898",FUZZY,Rana longicus
Rana luanchuanensis,DD,"Rana luanchuanensis Zhao & Yuan, 2017",EXACT,Rana luanchuanensis
Rana minuscula,NE,"Rana Linnaeus, 1758",HIGHERRANK,Rana minuscula
Rana qui,NE,"Rana Linnaeus, 1758",HIGHERRANK,Rana qui
Rana sangzhiensis,LC,"Rana sangzhiensis Shen, 1986",EXACT,Rana sangzhiensis
Rana taihangensis,NE,"Rana Linnaeus, 1758",HIGHERRANK,Rana taihangensis
Rana wuyiensis,NE,"Rana wuyiensis Wu, Shi, Zhang, Chen, Cai, Hoang, Wu & Wang, 2021",EXACT,Rana wuyiensis
Raorchestes cangyuanensis,NE,"Raorchestes cangyuanensis Wu, Suwannapoom, Xu, Murphy & Che, 2019",EXACT,Raorchestes cangyuanensis
Raorchestes hekouensis,NE,"Raorchestes Biju, Shouche, Dubois, Dutta & Bossuyt, 2010",HIGHERRANK,Raorchestes hekouensis
Raorchestes hillisi,NE,"Raorchestes hillisi Jiang, Ren, Guo, Wang & Li, 2020",EXACT,Raorchestes hillisi
Raorchestes huanglianshan,NE,"Raorchestes huanglianshan Jiang, Wang, Ren & Li, 2020",EXACT,Raorchestes huanglianshan
Raorchestes malipoensis,NE,"Raorchestes malipoensis Huang, Liu, Du, Bernstein, Liu, Yang, Yu & Wu, 2023",EXACT,Raorchestes malipoensis
Raorchestes menglaensis,LC,"Raorchestes menglaensis (Kou, 1990)",EXACT,Raorchestes menglaensis
Rhabdophis chiwen,LC,"Rhabdophis chiwen Chen, Ding, Chen & Piao, 2020",EXACT,Rhabdophis chiwen
Rhabdophis kaiyuanensis,NE,"Rhabdophis Fitzinger, 1843",HIGHERRANK,Rhabdophis kaiyuanensis
Rhabdophis nuchalis,LC,"Rhabdophis nuchalis (Boulenger, 1891)",EXACT,Rhabdophis nuchalis
Rhabdophis shuichengensis,NE,"Rhabdophis Fitzinger, 1843",HIGHERRANK,Rhabdophis shuichengensis
Rhacophorus dulongensis,NE,Animalia,HIGHERRANK,Rhacophorus dulongensis
Rhacophorus medogensis,NE,Animalia,HIGHERRANK,Rhacophorus medogensis
Rhacophorus napoensis,NE,"Rhacophorus napoensis Li, Liu, Yu & Sun, 2022",EXACT,Rhacophorus napoensis
Rhacophorus orlovi,LC,"Rhacophorus orlovi Ziegler & Köhler, 2001",EXACT,Rhacophorus orlovi
Rhacophorus qiongica,NE,Animalia,HIGHERRANK,Rhacophorus qiongica
Rhacophorus rhodopus,LC,"Rhacophorus rhodopus Liu & Hu, 1960",EXACT,Rhacophorus rhodopus
Rohanixalus shyamrupus,LC,"Rohanixalus shyamrupus (Chandra & Ghosh, 1989)",EXACT,Rohanixalus shyamrupus
Rohanixalus sp.2,NE,"Rohanixalus Biju, Garg, Gokulakrishnan, Chandrakasan, Thammachoti, Ren, Gopika, Bisht, Hamidy & Shouche, 2020",HIGHERRANK,Rohanixalus sp.2
Sacalia bealei,EN,"Sacalia bealei (Gray, 1831)",EXACT,Sacalia bealei
Scincella fansipanensis,NE,"Scincella Mittleman, 1950",HIGHERRANK,Scincella fansipanensis
Scincella huanrenensis,CR,"Scincella huanrenensis Zhao & Huang, 1982",EXACT,Scincella huanrenensis
Scincella liangshanensis,NE,"Scincella Mittleman, 1950",HIGHERRANK,Scincella liangshanensis
Scincella modesta,LC,"Scincella modesta (Günther, 1864)",EXACT,Scincella modesta
Scincella tenuistriata,NE,"Scincella Mittleman, 1950",HIGHERRANK,Scincella tenuistriata
Scutiger feiliangi,NE,"Scutiger Theobald, 1868",HIGHERRANK,Scutiger feiliangi
Scutiger liupanensis,EN,"Scutiger liupanensis Huang, 1985",EXACT,Scutiger liupanensis
Scutiger luozhaensis,NE,"Scutiger Theobald, 1868",HIGHERRANK,Scutiger luozhaensis
Scutiger ningshanensis,LC,"Scutiger ningshanensis Fang, 1985",EXACT,Scutiger ningshanensis
Scutiger spinosus,CR,"Scutiger spinosus Jiang, Wang, Li & Che, 2016",EXACT,Scutiger spinosus
Scutiger tengchongensis,DD,"Scutiger tengchongensis Yang & Huang, 2019",EXACT,Scutiger tengchongensis
Sibynophis chinensis,LC,"Sibynophis chinensis (Günther, 1889)",EXACT,Sibynophis chinensis
Sinomicrurus houi,LC,"Sinomicrurus houi Wang, Peng & Huang, 2018",EXACT,Sinomicrurus houi
Sinomicrurus kelloggi,LC,"Sinomicrurus kelloggi (Pope, 1928)",EXACT,Sinomicrurus kelloggi
Sinomicrurus macclellandi,LC,"Sinomicrurus macclellandi (Reinhardt, 1844)",EXACT,Sinomicrurus macclellandi
Sinomicrurus peinani,NE,"Sinomicrurus peinani Liu, Yan, Hou, Wang, Nguyen, Murphy, Che & Guo, 2020",EXACT,Sinomicrurus peinani
Sphenomorphus cryptotis,LC,"Sphenomorphus cryptotis Darevsky, Orlov & Cuc, 2004",EXACT,Sphenomorphus cryptotis
Sphenomorphus incognitus,LC,"Sphenomorphus incognitus (Thompson, 1912)",EXACT,Sphenomorphus incognitus
Sphenomorphus maculatus,LC,"Sphenomorphus maculatus (Blyth, 1853)",EXACT,Sphenomorphus maculatus
Sphenomorphus tonkinensis,LC,"Sphenomorphus tonkinensis Nguyen, Schmitz, Nguyen, Orlov, Böhme & Ziegler, 2011",EXACT,Sphenomorphus tonkinensis
Stichophanes ningshaanensis,NT,"Stichophanes ningshaanensis (Yuan, 1983)",EXACT,Stichophanes ningshaanensis
Sylvirana latouchii,NE,"Sylvirana latouchii (Boulenger, 1899)",EXACT,Sylvirana latouchii
Sylvirana nigrotympanica,LC,"Hylarana nigrotympanica (Dubois, 1992)",EXACT,Hylarana nigrotympanica
Takydromus intermedius,LC,"Takydromus intermedius Stejneger, 1924",EXACT,Takydromus intermedius
Takydromus kuehnei,LC,"Takydromus kuehnei Van Denburgh, 1909",EXACT,Takydromus kuehnei
Takydromus septentrionalis,LC,"Takydromus septentrionalis Günther, 1864",EXACT,Takydromus septentrionalis
Takydromus sylvaticus,LC,"Takydromus sylvaticus (Pope, 1928)",EXACT,Takydromus sylvaticus
Takydromus wolteri,LC,"Takydromus wolteri Fischer, 1885",EXACT,Takydromus wolteri
Takydromus yunkaiensis,NE,"Takydromus yunkaiensis Wang, Lyu & Wang, 2019",EXACT,Takydromus yunkaiensis
Teratoscincus przewalskii,LC,"Teratoscincus przewalskii Strauch, 1887",EXACT,Teratoscincus przewalskii
Testudo horsfieldii,VU,"Testudo horsfieldii Gray, 1844",EXACT,Testudo horsfieldii
Theloderma albopunctatum,LC,"Theloderma albopunctatum (Liu & Hu, 1962)",EXACT,Theloderma albopunctatum
Theloderma bicolor,LC,"Theloderma bicolor (Bourret, 1937)",EXACT,Theloderma bicolor
Theloderma corticale,LC,"Theloderma corticale (Boulenger, 1903)",EXACT,Theloderma corticale
Theloderma gordoni,LC,"Theloderma gordoni Taylor, 1962",EXACT,Theloderma gordoni
Theloderma hekouense,NE,"Theloderma hekouense Du, Wang, Liu & Yu, 2022",EXACT,Theloderma hekouense
Theloderma khoii,NE,"Theloderma khoii Ninh, Nguyen, Nguyen, Hoang, Siliyavong, Nguyen, Le, Le & Ziegler, 2022",EXACT,Theloderma khoii
Theloderma kwangsiense,LC,"Theloderma kwangsiense (Liu & Hu, 1962)",EXACT,Theloderma kwangsiense
Theloderma kwangsiensis,NE,"Theloderma kwangsiensis (Liu & Hu, 1962)",EXACT,Theloderma kwangsiensis
Theloderma moloch,LC,"Theloderma moloch (Annandale, 1912)",EXACT,Theloderma moloch
Theloderma pyaukkya,LC,"Theloderma pyaukkya Dever, 2017",EXACT,Theloderma pyaukkya
Theloderma rhododiscus,LC,"Theloderma rhododiscus (Liu & Hu, 1962)",EXACT,Theloderma rhododiscus
Thermophis shangrila,EN,"Thermophis shangrila Peng, Lu, Huang, Guo & Zhang, 2014",EXACT,Thermophis shangrila
Thermophis zhaoermii,EN,"Thermophis zhaoermii Guo, Liu, Feng & He, 2008",EXACT,Thermophis zhaoermii
Torrentophryne aspinia,EN,"Torrentophryne aspinia Rao & Yang, 1994",EXACT,Torrentophryne aspinia
Torrentophryne cryptotympanicus,LC,"Bufo cryptotympanicus Liu & Hu, 1962",EXACT,Bufo cryptotympanicus
Trachischium nyalamense,NE,"Trachischium Günther, 1853",HIGHERRANK,Trachischium nyalamense
Trimeresurus guoi,NE,"Trimeresurus guoi Chen, Shi, Vogel & Ding, 2021",EXACT,Trimeresurus guoi
Trimeresurus popeiorum,LC,"Trimeresurus popeiorum Smith, 1937",EXACT,Trimeresurus popeiorum
Trimeresurus sichuanensis,DD,"Trimeresurus sichuanensis (Guo & Wang, 2011)",EXACT,Trimeresurus sichuanensis
Trimeresurus yingjiangensis,NE,"Trimeresurus yingjiangensis Chen, Zhang, Shi, Tang, Guo, Song & Ding, 2019",EXACT,Trimeresurus yingjiangensis
Tropidophorus berdmorei,LC,"Tropidophorus berdmorei (Blyth, 1853)",EXACT,Tropidophorus berdmorei
Tropidophorus guangxiensis,DD,"Tropidophorus guangxiensis Wen, 1992",EXACT,Tropidophorus guangxiensis
Tropidophorus hainanus,LC,"Tropidophorus hainanus Smith, 1923",EXACT,Tropidophorus hainanus
Tropidophorus kouzhitongi,NE,Animalia,HIGHERRANK,Tropidophorus kouzhitongi
Tropidophorus sinicus,LC,"Tropidophorus sinicus Boettger, 1886",EXACT,Tropidophorus sinicus
Tylototriton daweishanensis,NE,"Tylototriton daweishanensi Zhao, Rao, Liu, Li & Yuan, 2012",FUZZY,Tylototriton daweishanensis
Tylototriton gaowangjienensis,NE,"Tylototriton Anderson, 1871",HIGHERRANK,Tylototriton gaowangjienensis
Tylototriton huangyanensis,NE,"Tylototriton Anderson, 1871",HIGHERRANK,Tylototriton huangyanensis
Tylototriton maolanensis,NE,"Tylototriton Anderson, 1871",HIGHERRANK,Tylototriton maolanensis
Tylototriton sini,NE,"Tylototriton sini Lyu, Wang, Zeng, Zhou, Qi, Wan, Li & Wang, 2021",EXACT,Tylototriton sini
Tylototriton yangi,EN,"Tylototriton yangi Hou, Zhang, Zhou, Li & Lu, 2012",EXACT,Tylototriton yangi
Tylototriton ziegleri,VU,"Tylototriton ziegleri Nishikawa, Matsui & Nguyen, 2013",EXACT,Tylototriton ziegleri
Varanus irrawadicus,NT,"Varanus irrawadicus Yang & Li, 1987",EXACT,Varanus irrawadicus
Vibrissaphora boringii,EN,"Vibrissaphora boringii Liu, 1945",EXACT,Vibrissaphora boringii
Vibrissaphora promustache,EN,"Vibrissaphora promustache Rao, Wilkinson & Zhang, 2006",EXACT,Vibrissaphora promustache
Vietnamophryne orlovi,DD,"Vietnamophryne orlovi Poyarkov, Suwannapoom, Pawangkhanant, Aksornneam, Duong, Korost & Che, 2018",EXACT,Vietnamophryne orlovi
Wjayarana melasma,LC,"Wijayarana melasma (Stuart & Chan-ard, 2005)",EXACT,Wijayarana melasma
Xenophrys lishuiensis,DD,"Xenophrys lishuiensis Wang, Liu & Jiang, 2017",EXACT,Xenophrys lishuiensis
Xenophrys major,LC,"Xenophrys major (Boulenger, 1908)",EXACT,Xenophrys major
Xenophrys mangshanensis,LC,"Xenophrys mangshanensis (Fei & Ye, 1990)",EXACT,Xenophrys mangshanensis
Xenophrys maosonensis,DD,"Xenophrys maosonensis (Bourret, 1937)",EXACT,Xenophrys maosonensis
Xenophrys medogensis,EN,"Xenophrys medogensis (Fei, Ye & Huang, 1983)",EXACT,Xenophrys medogensis
Xenophrys omeimontis,LC,"Xenophrys omeimontis (Liu, 1950)",EXACT,Xenophrys omeimontis
Xenophrys pangdaensis,,"Xenophrys Günther, 1864",HIGHERRANK,Xenophrys pangdaensis
Xenophrys periosa,EN,"Megophrys periosa Mahony, Kamei, Teeling & Biju, 2018",EXACT,Megophrys periosa
Xenophrys tongbiguanensis,,"Xenophrys Günther, 1864",HIGHERRANK,Xenophrys tongbiguanensis
Xenophrys yingjiangensis,,"Xenophrys Günther, 1864",HIGHERRANK,Xenophrys yingjiangensis
Yaotriton anhuiensis,CR,"Tylototriton anhuiensis Qian, Sun, Li, Guo, Pan, Kang, Wang, Jiang, Wu & Zhang, 2017",EXACT,Tylototriton anhuiensis
Yaotriton asperrimus,NT,"Yaotriton asperrimus (Unterstein, 1930)",EXACT,Yaotriton asperrimus
Yaotriton broadoridgus,VU,"Yaotriton broadoridgus (Shen, Jiang & Mo, 2012)",EXACT,Yaotriton broadoridgus
Yaotriton liuyangensis,EN,"Tylototriton liuyangensis Yang, Jiang, Shen & Fei, 2014",EXACT,Tylototriton liuyangensis
Yerana yei,VU,"Yerana yei (Chen, Qu & Jiang, 2002)",EXACT,Yerana yei
Zhangixalus burmanus,LC,"Zhangixalus burmanus (Andersson, 1939)",EXACT,Zhangixalus burmanus
Zhangixalus daweishanensis,NE,"Zhangixalus Li, Jiang, Ren & Jiang, 2019",HIGHERRANK,Zhangixalus daweishanensis
Zhangixalus dennysi,LC,"Zhangixalus dennysi (Blanford, 1881)",EXACT,Zhangixalus dennysi
Zhangixalus franki,DD,"Zhangixalus franki Ninh, Nguyen, Orlov, Nguyen & Ziegler, 2020",EXACT,Zhangixalus franki
Zhangixalus hongchibaensis,EN,"Zhangixalus hongchibaensis (Li, Liu, Chen, Wu, Murphy, Zhao, Wang & Zhang, 2012)",EXACT,Zhangixalus hongchibaensis
Zhangixalus leucofasciatus,DD,"Zhangixalus leucofasciatus (Liu & Hu, 1962)",EXACT,Zhangixalus leucofasciatus
Zhangixalus lishuiensis,DD,"Zhangixalus lishuiensis (Liu, Wang & Jiang, 2017)",EXACT,Zhangixalus lishuiensis
Zhangixalus minimus,NT,"Zhangixalus minimus (Rao, Wilkinson & Liu, 2006)",EXACT,Zhangixalus minimus
Zhangixalus nigropunctatus,LC,"Zhangixalus nigropunctatus (Liu, Hu & Yang, 1962)",EXACT,Zhangixalus nigropunctatus
Zhangixalus omeimontis,LC,"Zhangixalus omeimontis (Stejneger, 1924)",EXACT,Zhangixalus omeimontis
Zhangixalus pachyproctus,NE,"Zhangixalus pachyproctus Yu, Hui, Hou, Wu, Rao & Yang, 2019",EXACT,Zhangixalus pachyproctus
Zhangixalus pinglongensis,DD,"Zhangixalus pinglongensis (Mo, Chen, Liao & Zhou, 2016)",EXACT,Zhangixalus pinglongensis
Zhangixalus wui,VU,"Zhangixalus wui (Li, Liu, Chen, Wu, Murphy, Zhao, Wang & Zhang, 2012)",EXACT,Zhangixalus wui
Zhangixalus zhoukaiyae,DD,"Zhangixalus zhoukaiyae (T.Pan, Y.Zhang & B.Zhang, 2017)",EXACT,Zhangixalus zhoukaiyae
