species,IUCN_category,IUCN_category_raw,IUCN_scientific_name,IUCN_taxonID,IUCN_assessment_version,matched_via,query_used
Nidirana xiangica,,,,,,,
Nidirana yaoica,,,,,,,
Occidozyga lingnanica,,,,,,,
Occidozyga shiwandashanensis,,,,,,,
Odorrana bacboensis,LC,Least Concern,Odorrana bacboensis,58554,2022-1,IUCN现行名精确,Odorrana bacboensis
Odorrana calciphila,,,,,,,
Odorrana concelata,,,,,,,
Odorrana confusa,,,,,,,
Odorrana damingshanensis,,,,,,,
Odorrana dulongensis,,,,,,,
Odorrana fengkaiensis,LC,Least Concern,Odorrana fengkaiensis,84335669,2022-2,IUCN现行名精确,Odorrana fengkaiensis
Odorrana graminea,LC,Least Concern,Odorrana graminea,58608,2022-2,IUCN现行名精确,Odorrana graminea
Odorrana hejiangensis,VU,Vulnerable,Odorrana hejiangensis,58615,2020-2,IUCN现行名精确,Odorrana hejiangensis
Odorrana huanggangensis,LC,Least Concern,Odorrana huanggangensis,54257592,2023-1,IUCN现行名精确,Odorrana huanggangensis
Odorrana jingdongensis,VU,Vulnerable,Odorrana jingdongensis,58627,,IUCN现行名精确,Odorrana jingdongensis
Odorrana kuangwuensis,VU,Vulnerable,Odorrana kuangwuensis,58634,2020-2,IUCN现行名精确,Odorrana kuangwuensis
Odorrana kweichowensis,VU,Vulnerable,Odorrana kweichowensis,145406129,2020-2,IUCN现行名精确,Odorrana kweichowensis
Odorrana leishanensis,,,,,,,
Odorrana liboensis,,,,,,,
Odorrana lipuensis,VU,Vulnerable,Odorrana lipuensis,88127641,2022-2,IUCN现行名精确,Odorrana lipuensis
Odorrana lungshengensis,LC,Least Concern,Odorrana lungshengensis,58648,2020-3,IUCN现行名精确,Odorrana lungshengensis
Odorrana margaretae,LC,Least Concern,Odorrana margaretae,58660,2022-2,IUCN现行名精确,Odorrana margaretae
Odorrana nanjiangensis,NT,Near Threatened,Odorrana nanjiangensis,195406,2020-2,IUCN现行名精确,Odorrana nanjiangensis
Odorrana sangzhiensis,,,,,,,
Odorrana schmackeri,LC,Least Concern,Odorrana schmackeri,164370602,2023-1,IUCN现行名精确,Odorrana schmackeri
Odorrana tianmuii,LC,Least Concern,Odorrana tianmuii,78521724,2023-1,IUCN现行名精确,Odorrana tianmuii
Odorrana wuchuanensis,VU,Vulnerable,Odorrana wuchuanensis,58751,2020-2,IUCN现行名精确,Odorrana wuchuanensis
Odorrana yangi,,,,,,,
Odorrana yizhangensis,LC,Least Concern,Odorrana yizhangensis,54314689,2020-3,IUCN现行名精确,Odorrana yizhangensis
Oligodon bellus,,,,,,,
Oligodon bivirgatus,DD,Data Deficient,Oligodon bivirgatus,211835174,2024-1,IUCN现行名精确,Oligodon bivirgatus
Oligodon catenatus,LC,Least Concern,Oligodon catenatus,192216,2021-3,IUCN现行名精确,Oligodon catenatus
Oligodon formosanus,LC,Least Concern,Oligodon formosanus,191938,2014-3,IUCN现行名精确,Oligodon formosanus
Oligodon guizhouensis,,,,,,,
Oligodon hamptoni,DD,Data Deficient,Oligodon hamptoni,192106,2012-1,IUCN现行名精确,Oligodon hamptoni
Oligodon lungshenensis,NT,Near Threatened,Oligodon lungshenensis,191941,2012-1,IUCN现行名精确,Oligodon lungshenensis
Oligodon zhangfujii,,,,,,,
Onychodactylus koreanus,LC,Least Concern,Onychodactylus koreanus,79098997,2023-1,IUCN现行名精确,Onychodactylus koreanus
Onychodactylus nipponoborealis,LC,Least Concern,Onychodactylus nipponoborealis,79100669,2021-1,IUCN现行名精确,Onychodactylus nipponoborealis
Onychodactylus zhangyapingi,DD,Data Deficient,Onychodactylus zhangyapingi,79100197,2020-3,IUCN现行名精确,Onychodactylus zhangyapingi
Onychodactylus zhaoermii,NT,Near Threatened,Onychodactylus zhaoermii,79100326,2023-1,IUCN现行名精确,Onychodactylus zhaoermii
Opisthotropis haihaensis,,,,,,,
Opisthotropis hungtai,LC,Least Concern,Opisthotropis hungtai,199520139,2024-1,IUCN现行名精确,Opisthotropis hungtai
Opisthotropis shenzhenensis,EN,Endangered,Opisthotropis shenzhenensis,115603857,2024-1,IUCN现行名精确,Opisthotropis shenzhenensis
Opisthotropis zhaoermii,LC,Least Concern,Opisthotropis zhaoermii,199520153,2024-1,IUCN现行名精确,Opisthotropis zhaoermii
Oreolalax longmenmontis,,,,,,,
Oreolalax rhodostigmatus,VU,Vulnerable,Oreolalax rhodostigmatus,57600,2020-2,IUCN现行名精确,Oreolalax rhodostigmatus
Oreolalax yanyuanensis,,,,,,,
Orientocoluber spinalis,LC,Least Concern,Orientocoluber spinalis,192006,2021-2,IUCN现行名精确,Orientocoluber spinalis
Ovophis jenkinsi,,,,,,,
Ovophis monticola,LC,Least Concern,Ovophis monticola,196011,2021-3,IUCN现行名精确,Ovophis monticola
Ovophis sp. nov.,,,,,,,
Ovophis tonkinensis,LC,Least Concern,Ovophis tonkinensis,192179,2022-1,IUCN现行名精确,Ovophis tonkinensis
Ovophis zayuensis,LC,Least Concern,Ovophis zayuensis,192194,2022-1,IUCN现行名精确,Ovophis zayuensis
Paa rostandi,LC,Least Concern,Nanorana rostandi,58437,2023-1,IUCN异名映射,Paa rostandi
Pachytriton changi,EN,Endangered,Pachytriton changi,78528792,2020-3,IUCN现行名精确,Pachytriton changi
Pachytriton cheni,EN,,,,,GBIF快照回退,
Pachytriton feii,VU,Vulnerable,Pachytriton feii,78528858,2020-1,IUCN现行名精确,Pachytriton feii
Pachytriton granulosus,LC,Least Concern,Pachytriton granulosus,88383857,2020-3,IUCN现行名精确,Pachytriton granulosus
Pachytriton inexpectatus,LC,Least Concern,Pachytriton inexpectatus,88384145,2020-2,IUCN现行名精确,Pachytriton inexpectatus
Pachytriton wuguanfui,EN,Endangered,Pachytriton wuguanfui,145401912,2020-1,IUCN现行名精确,Pachytriton wuguanfui
Parafimbrios lao,,,,,,,
Paramegophrys alpinus,NT,Near Threatened,Leptobrachella alpina,57561,2020-3,IUCN异名映射,Leptolalax alpinus
Paramegophrys aspera,,,,,,,
Paramegophrys bashaensis,,,,,,,
Paramegophrys chishuiensis,,,,,,,
Paramegophrys damingshanensis,,,,,,,
Paramegophrys dong,,,,,,,
Paramegophrys dorsospina,,,,,,,
Paramegophrys dushanensis,,,,,,,
Paramegophrys guinanensis,,,,,,,
Paramegophrys jinshaensis,,,,,,,
Paramegophrys jinyunensis,,,,,,,
Paramegophrys laui,VU,Vulnerable,Leptobrachella laui,78518292,2021-3,IUCN异名映射,Leptolalax laui
Paramegophrys maoershanensis,NT,Near Threatened,Leptobrachella maoershanensis,145405080,2020-2,IUCN异名映射,Leptolalax maoershanensis
Paramegophrys oshanensis,LC,Least Concern,Leptobrachella oshanensis,48102330,2022-2,IUCN异名映射,Leptolalax oshanensis
Paramegophrys sangi,LC,Least Concern,Leptobrachella sungi,57575,2017-2,IUCN现行名精确,Leptobrachella sungi
Paramegophrys shimentaina,,,,,,,
Paramegophrys suiyangensis,,,,,,,
Paramegophrys tengchongensis,EN,Endangered,Leptobrachella tengchongensis,145405617,2020-1,IUCN现行名精确,Leptobrachella tengchongensis
Paramegophrys ventripunctatus,LC,Least Concern,Leptobrachella ventripunctata,57577,2022-1,IUCN现行名精确,Leptobrachella ventripunctata
Paramegophrys verrucosa,,,,,,,
Paramegophrys wuhuangmontis,DD,Data Deficient,Leptobrachella wuhuangmontis,145405709,2020-1,IUCN现行名精确,Leptobrachella wuhuangmontis
Paramegophrys wumingensis,,,,,,,
Paramegophrys yeae,,,,,,,
Paramegophrys yunkaiensis,DD,Data Deficient,Leptobrachella yunkaiensis,145405935,2020-1,IUCN现行名精确,Leptobrachella yunkaiensis
Paramegophrys yunyangensis,,,,,,,
Paramesotriton aurantius,VU,Vulnerable,Paramesotriton aurantius,112688544,2020-1,IUCN现行名精确,Paramesotriton aurantius
Paramesotriton caudopunctatus,NT,Near Threatened,Paramesotriton caudopunctatus,79101514,2021-1,IUCN现行名精确,Paramesotriton caudopunctatus
Paramesotriton chinensis,LC,Least Concern,Paramesotriton chinensis,194962451,2021-3,IUCN现行名精确,Paramesotriton chinensis
Paramesotriton chongqingensis,,,,,,,
Paramesotriton deloustali,LC,Least Concern,Paramesotriton deloustali,16129,2017-2,IUCN现行名精确,Paramesotriton deloustali
Paramesotriton labiatus,CR,Critically Endangered,Paramesotriton labiatus,88384283,2021-3,IUCN现行名精确,Paramesotriton labiatus
Paramesotriton longliensis,VU,Vulnerable,Paramesotriton longliensis,195407,2020-2,IUCN现行名精确,Paramesotriton longliensis
Paramesotriton maolanensis,DD,Data Deficient,Paramesotriton maolanensis,78529967,2020-2,IUCN现行名精确,Paramesotriton maolanensis
Paramesotriton yunwuensis,EN,Endangered,Paramesotriton yunwuensis,78531041,2020-2,IUCN现行名精确,Paramesotriton yunwuensis
Pareas baiseensis,,,,,,,
Pareas boulengeri,LC,Least Concern,Pareas boulengeri,177434,2024-1,IUCN现行名精确,Pareas boulengeri
Pareas dabieshanensis,,,,,,,
Pareas geminatus,,,,,,,
Pareas guanyinshanensis,,,,,,,
Pareas hamptoni,LC,Least Concern,Pareas hamptoni,192189,2012-1,IUCN现行名精确,Pareas hamptoni
Pareas menglaensis,,,,,,,
Pareas mengziensis,LC,Least Concern,Pareas niger,199524171,2024-1,IUCN异名映射,Pareas mengziensis
Pareas niger,LC,Least Concern,Pareas niger,199524171,2024-1,IUCN现行名精确,Pareas niger
Pareas orientalis,,,,,,,
Pareas sp. nov.,,,,,,,
Pareas stanleyi,DD,Data Deficient,Pareas stanleyi,192190,2024-1,IUCN现行名精确,Pareas stanleyi
Pareas xuelinensis,DD,Data Deficient,Pareas xuelinensis,211836753,2024-1,IUCN现行名精确,Pareas xuelinensis
Pelophylax chosenicus,VU,Vulnerable,Pelophylax chosenicus,58577,2021-3,IUCN现行名精确,Pelophylax chosenicus
Pelophylax hubeiensis,LC,Least Concern,Pelophylax hubeiensis,58620,2020-1,IUCN现行名精确,Pelophylax hubeiensis
Pelophylax mongolius,,,,,,,
Pelophylax nigromaculatus,LC,Least Concern,Pelophylax nigromaculatus,58679,2023-1,IUCN现行名精确,Pelophylax nigromaculatus
Pelophylax plancyi,LC,Least Concern,Pelophylax plancyi,58697,2020-3,IUCN现行名精确,Pelophylax plancyi
Phrynocephalus forsythii,LC,Least Concern,Phrynocephalus forsythii,47755654,2019-2,IUCN现行名精确,Phrynocephalus forsythii
Phrynocephalus kangsuensis,,,,,,,
Plagiopholis styani,LC,Least Concern,Plagiopholis styani,177442,2012-1,IUCN现行名精确,Plagiopholis styani
Platysternon baiseensis,,,,,,,
Platysternon sp.,,,,,,,
Plestiodon capito,LC,Least Concern,Plestiodon capito,199751,2019-3,IUCN现行名精确,Plestiodon capito
Plestiodon chinensis,LC,Least Concern,Plestiodon chinensis,104764162,2019-3,IUCN现行名精确,Plestiodon chinensis
Plestiodon elegans,LC,Least Concern,Plestiodon elegans,96265106,2019-2,IUCN现行名精确,Plestiodon elegans
Polypedates megacephalus,LC,Least Concern,Polypedates megacephalus,88428054,2022-2,IUCN现行名精确,Polypedates megacephalus
Polypedates mutus,LC,Least Concern,Polypedates mutus,58958,2022-2,IUCN现行名精确,Polypedates mutus
Polypedates teraiensis,LC,Least Concern,Polypedates teraiensis,88428372,2023-1,IUCN现行名精确,Polypedates teraiensis
Protobothrops cornutus,NT,Near Threatened,Protobothrops cornutus,22151,2022-1,IUCN现行名精确,Protobothrops cornutus
Protobothrops dabieshanensis,,,,,,,
Protobothrops himalayanus,LC,Least Concern,Protobothrops himalayanus,47023571,2022-2,IUCN现行名精确,Protobothrops himalayanus
Protobothrops jerdonii,LC,Least Concern,Protobothrops jerdonii,178419,2012-1,IUCN现行名精确,Protobothrops jerdonii
Protobothrops mucrosquamatus,LC,Least Concern,Protobothrops mucrosquamatus,178409,2021-3,IUCN现行名精确,Protobothrops mucrosquamatus
Protobothrops xiangchengensis,LC,Least Concern,Protobothrops xiangchengensis,186095,2012-1,IUCN现行名精确,Protobothrops xiangchengensis
Protohynobius puxiongensis,CR,Critically Endangered,Pseudohynobius puxiongensis,59110,2020-2,IUCN异名映射,Protohynobius puxiongensis
Psammodynastes pulverulentus,LC,Least Concern,Psammodynastes pulverulentus,184062,2022-2,IUCN现行名精确,Psammodynastes pulverulentus
Pseudapibtocalamus,,,,,,,
Pseudocalotes jingpo,,,,,,,
Pseudohynobius guizhouensis,DD,Data Deficient,Pseudohynobius guizhouensis,78576349,2020-3,IUCN现行名精确,Pseudohynobius guizhouensis
Pseudohynobius jinfo,EN,Endangered,Pseudohynobius jinfo,79123553,2020-2,IUCN现行名精确,Pseudohynobius jinfo
Pseudohynobius tsinpaensis,,,,,,,
Pseudohynobius yunwuensis,,,,,,,
Pseudoxenodon bambusicola,LC,Least Concern,Pseudoxenodon bambusicola,192230,2012-1,IUCN现行名精确,Pseudoxenodon bambusicola
Pseudoxenodon karlschmidti,LC,Least Concern,Pseudoxenodon karlschmidti,191917,2014-3,IUCN现行名精确,Pseudoxenodon karlschmidti
Pseudoxenodon macrops,LC,Least Concern,Pseudoxenodon macrops,191926,2012-1,IUCN现行名精确,Pseudoxenodon macrops
Pseudoxenodon stejnegeri,LC,Least Concern,Pseudoxenodon stejnegeri,192182,2024-1,IUCN现行名精确,Pseudoxenodon stejnegeri
Ptyas dhumnades,LC,Least Concern,Ptyas dhumnades,192126,2024-1,IUCN现行名精确,Ptyas dhumnades
Ptyas major,LC,Least Concern,Ptyas major,192054,2014-3,IUCN现行名精确,Ptyas major
Ptyas multicinctus,LC,Least Concern,Ptyas multicinctus,192206,2012-1,IUCN现行名精确,Ptyas multicinctus
Ptyas nigromarginata,LC,Least Concern,Ptyas nigromarginata,192214,2021-3,IUCN现行名精确,Ptyas nigromarginata
Python molurus bivittatus,NT,Near Threatened,Python molurus,58894358,2021-2,IUCN现行名精确,Python molurus bivittatus
Quasipaa delacouri,LC,Least Concern,Quasipaa delacouri,58243,2022-1,IUCN现行名精确,Quasipaa delacouri
Quasipaa exilispinosa,LC,Least Concern,Quasipaa exilispinosa,58424,2020-3,IUCN现行名精确,Quasipaa exilispinosa
Quasipaa robertingeri,VU,Vulnerable,Quasipaa boulengeri,88951870,2022-2,IUCN异名映射,Quasipaa robertingeri
Quasipaa verrucospinosa,LC,Least Concern,Quasipaa verrucospinosa,58442,2022-1,IUCN现行名精确,Quasipaa verrucospinosa
Quasipaa yunkaiensis,,,,,,,
Rana chaochiaoensis,LC,Least Concern,Rana chaochiaoensis,58569,2020-1,IUCN现行名精确,Rana chaochiaoensis
Rana coreana,LC,Least Concern,Rana coreana,89108544,2022-2,IUCN现行名精确,Rana coreana
Rana culaiensis,DD,Data Deficient,Rana culaiensis,78584643,2022-2,IUCN现行名精确,Rana culaiensis
Rana dabieshanensis,DD,Data Deficient,Rana dabieshanensis,145401992,2021-3,IUCN现行名精确,Rana dabieshanensis
Rana dybowskii,NT,Near Threatened,Rana dybowskii,79128457,2023-1,IUCN现行名精确,Rana dybowskii
Rana hanluica,LC,Least Concern,Rana hanluica,135769,2022-2,IUCN现行名精确,Rana hanluica
Rana huanrenensis,LC,Least Concern,Rana huanrensis,58619,2019-1,IUCN异名映射,Rana huanrenensis
Rana jiemuxiensis,DD,Data Deficient,Rana jiemuxiensis,79127648,2022-2,IUCN现行名精确,Rana jiemuxiensis
Rana jiulingensis,,,,,,,
Rana johnsi,LC,Least Concern,Rana johnsi,58629,2022-2,IUCN现行名精确,Rana johnsi
Rana longicus,VU,Vulnerable,Rana longicrus,206605010,2022-2,IUCN现行名精确,Rana longicrus
Rana luanchuanensis,DD,Data Deficient,Rana luanchuanensis,145400418,2020-2,IUCN现行名精确,Rana luanchuanensis
Rana minuscula,,,,,,,
Rana qui,,,,,,,
Rana sangzhiensis,LC,Least Concern,Rana sangzhiensis,217017716,2022-2,IUCN现行名精确,Rana sangzhiensis
Rana taihangensis,,,,,,,
Rana wuyiensis,,,,,,,
Raorchestes cangyuanensis,,,,,,,
Raorchestes hekouensis,,,,,,,
Raorchestes hillisi,,,,,,,
Raorchestes huanglianshan,,,,,,,
Raorchestes malipoensis,,,,,,,
Raorchestes menglaensis,LC,Least Concern,Raorchestes menglaensis,58872,2020-1,IUCN现行名精确,Raorchestes menglaensis
Rhabdophis chiwen,LC,Least Concern,Rhabdophis chiwen,199520210,2024-1,IUCN现行名精确,Rhabdophis chiwen
Rhabdophis kaiyuanensis,,,,,,,
Rhabdophis nuchalis,LC,Least Concern,Rhabdophis nuchalis,177504,2012-1,IUCN现行名精确,Rhabdophis nuchalis
Rhabdophis shuichengensis,,,,,,,
Rhacophorus dulongensis,,,,,,,
Rhacophorus medogensis,,,,,,,
Rhacophorus napoensis,,,,,,,
Rhacophorus orlovi,LC,Least Concern,Rhacophorus orlovi,59010,2017-2,IUCN现行名精确,Rhacophorus orlovi
Rhacophorus qiongica,,,,,,,
Rhacophorus rhodopus,LC,Least Concern,Rhacophorus rhodopus,136042,2022-2,IUCN现行名精确,Rhacophorus rhodopus
Rohanixalus shyamrupus,LC,Least Concern,Rohanixalus shyamrupus,58795,2023-1,IUCN现行名精确,Rohanixalus shyamrupus
Rohanixalus sp.2,,,,,,,
Sacalia bealei,EN,Endangered,Sacalia bealei,19796,2000,IUCN现行名精确,Sacalia bealei
Scincella fansipanensis,,,,,,,
Scincella huanrenensis,CR,Critically Endangered,Scincella huanrenensis,102656174,2019-3,IUCN现行名精确,Scincella huanrenensis
Scincella liangshanensis,,,,,,,
Scincella modesta,LC,Least Concern,Scincella modesta,102658065,2021-2,IUCN现行名精确,Scincella modesta
Scincella tenuistriata,,,,,,,
Scutiger feiliangi,,,,,,,
Scutiger liupanensis,EN,Endangered,Scutiger liupanensis,57613,2020-2,IUCN现行名精确,Scutiger liupanensis
Scutiger luozhaensis,,,,,,,
Scutiger ningshanensis,LC,Least Concern,Scutiger ningshanensis,57618,2021-3,IUCN现行名精确,Scutiger ningshanensis
Scutiger spinosus,CR,Critically Endangered,Scutiger spinosus,145409081,2022-2,IUCN现行名精确,Scutiger spinosus
Scutiger tengchongensis,DD,Data Deficient,Scutiger tengchongensis,145432675,2020-1,IUCN现行名精确,Scutiger tengchongensis
Sibynophis chinensis,LC,Least Concern,Sibynophis chinensis,193454,2014-3,IUCN现行名精确,Sibynophis chinensis
Sinomicrurus houi,LC,Least Concern,Sinomicrurus kelloggi,191960,2012-1,IUCN异名映射,Sinomicrurus houi
Sinomicrurus kelloggi,LC,Least Concern,Sinomicrurus kelloggi,191960,2012-1,IUCN现行名精确,Sinomicrurus kelloggi
Sinomicrurus macclellandi,LC,Least Concern,Sinomicrurus macclellandi,191930,2022-2,IUCN现行名精确,Sinomicrurus macclellandi
Sinomicrurus peinani,,,,,,,
Sphenomorphus cryptotis,LC,Least Concern,Sphenomorphus cryptotis,114014629,2018-2,IUCN现行名精确,Sphenomorphus cryptotis
Sphenomorphus incognitus,LC,Least Concern,Sphenomorphus incognitus,104771628,2019-2,IUCN现行名精确,Sphenomorphus incognitus
Sphenomorphus maculatus,LC,Least Concern,Sphenomorphus maculatus,102347892,2021-3,IUCN现行名精确,Sphenomorphus maculatus
Sphenomorphus tonkinensis,LC,Least Concern,Sphenomorphus tonkinensis,104777724,2019-2,IUCN现行名精确,Sphenomorphus tonkinensis
Stichophanes ningshaanensis,NT,Near Threatened,Stichophanes ningshaanensis,192031,2024-1,IUCN现行名精确,Stichophanes ningshaanensis
Sylvirana latouchii,,,,,,,
Sylvirana nigrotympanica,LC,Least Concern,Hylarana cubitalis,58582,2022-2,IUCN异名映射,Hylarana nigrotympanica
Takydromus intermedius,LC,Least Concern,Takydromus intermedius,102342208,2019-2,IUCN现行名精确,Takydromus intermedius
Takydromus kuehnei,LC,Least Concern,Takydromus kuehnei,178242,2019-2,IUCN现行名精确,Takydromus kuehnei
Takydromus septentrionalis,LC,Least Concern,Takydromus septentrionalis,102342469,2019-2,IUCN现行名精确,Takydromus septentrionalis
Takydromus sylvaticus,LC,Least Concern,Takydromus sylvaticus,102342526,2019-3,IUCN现行名精确,Takydromus sylvaticus
Takydromus wolteri,LC,Least Concern,Takydromus wolteri,47756012,2022-2,IUCN现行名精确,Takydromus wolteri
Takydromus yunkaiensis,,,,,,,
Teratoscincus przewalskii,LC,Least Concern,Teratoscincus przewalskii,178359,2019-2,IUCN现行名精确,Teratoscincus przewalskii
Testudo horsfieldii,VU,Vulnerable,Testudo horsfieldii,21651,,IUCN现行名精确,Testudo horsfieldii
Theloderma albopunctatum,LC,Least Concern,Theloderma albopunctatum,58812,2022-2,IUCN现行名精确,Theloderma albopunctatum
Theloderma bicolor,LC,Least Concern,Theloderma bicolor,59032,2022-2,IUCN现行名精确,Theloderma bicolor
Theloderma corticale,LC,Least Concern,Theloderma corticale,219709082,2022-2,IUCN现行名精确,Theloderma corticale
Theloderma gordoni,LC,Least Concern,Theloderma gordoni,59034,2016-3,IUCN现行名精确,Theloderma gordoni
Theloderma hekouense,,,,,,,
Theloderma khoii,,,,,,,
Theloderma kwangsiense,LC,Least Concern,Theloderma corticale,219709082,2022-2,IUCN异名映射,Theloderma kwangsiense
Theloderma kwangsiensis,LC,Least Concern,Theloderma corticale,219709082,2022-2,同属词干,Theloderma kwangsiensis
Theloderma moloch,LC,Least Concern,Theloderma moloch,58805,2022-2,IUCN现行名精确,Theloderma moloch
Theloderma pyaukkya,LC,Least Concern,Theloderma pyaukkya,121387010,2022-2,IUCN现行名精确,Theloderma pyaukkya
Theloderma rhododiscus,LC,Least Concern,Theloderma rhododiscus,58894,2022-2,IUCN现行名精确,Theloderma rhododiscus
Thermophis shangrila,EN,Endangered,Thermophis shangrila,199520016,2024-1,IUCN现行名精确,Thermophis shangrila
Thermophis zhaoermii,EN,Endangered,Thermophis zhaoermii,192112,2024-1,IUCN现行名精确,Thermophis zhaoermii
Torrentophryne aspinia,EN,Endangered,Bufo aspinius,54580,2020-2,IUCN异名映射,Torrentophryne aspinia
Torrentophryne cryptotympanicus,LC,Least Concern,Bufo cryptotympanicus,54622,2021-3,IUCN现行名精确,Bufo cryptotympanicus
Trachischium nyalamense,,,,,,,
Trimeresurus guoi,,,,,,,
Trimeresurus popeiorum,LC,Least Concern,Trimeresurus popeiorum,192243,2022-1,IUCN现行名精确,Trimeresurus popeiorum
Trimeresurus sichuanensis,DD,Data Deficient,Trimeresurus sichuanensis,199774,2022-1,IUCN现行名精确,Trimeresurus sichuanensis
Trimeresurus yingjiangensis,,,,,,,
Tropidophorus berdmorei,LC,Least Concern,Tropidophorus berdmorei,104778762,2019-2,IUCN现行名精确,Tropidophorus berdmorei
Tropidophorus guangxiensis,DD,Data Deficient,Tropidophorus guangxiensis,104834777,2021-2,IUCN现行名精确,Tropidophorus guangxiensis
Tropidophorus hainanus,LC,Least Concern,Tropidophorus hainanus,104832114,2019-2,IUCN现行名精确,Tropidophorus hainanus
Tropidophorus kouzhitongi,,,,,,,
Tropidophorus sinicus,LC,Least Concern,Tropidophorus sinicus,104834131,2019-2,IUCN现行名精确,Tropidophorus sinicus
Tylototriton daweishanensis,,,,,,,
Tylototriton gaowangjienensis,,,,,,,
Tylototriton huangyanensis,,,,,,,
Tylototriton maolanensis,,,,,,,
Tylototriton sini,,,,,,,
Tylototriton yangi,EN,Endangered,Tylototriton yangi,78587030,2020-2,IUCN现行名精确,Tylototriton yangi
Tylototriton ziegleri,VU,Vulnerable,Tylototriton ziegleri,47144899,2017-2,IUCN现行名精确,Tylototriton ziegleri
Varanus irrawadicus,NT,Near Threatened,Varanus bengalensis,164579,2021-2,IUCN异名映射,Varanus irrawadicus
Vibrissaphora boringii,EN,Endangered,Leptobrachium boringii,57625,2020-2,IUCN异名映射,Vibrissaphora boringii
Vibrissaphora promustache,EN,Endangered,Leptobrachium promustache,135899,2022-2,IUCN异名映射,Vibrissaphora promustache
Vietnamophryne orlovi,DD,Data Deficient,Vietnamophryne orlovi,164451827,2021-3,IUCN现行名精确,Vietnamophryne orlovi
Wjayarana melasma,LC,Least Concern,Wijayarana melasma,61865,2021-3,IUCN现行名精确,Wijayarana melasma
Xenophrys lishuiensis,DD,Data Deficient,Megophrys lishuiensis,145402381,2022-2,IUCN异名映射,Xenophrys lishuiensis
Xenophrys major,LC,Least Concern,Megophrys major,114116762,2023-1,IUCN异名映射,Xenophrys major
Xenophrys mangshanensis,LC,Least Concern,Megophrys mangshanensis,57644,2021-3,IUCN异名映射,Xenophrys mangshanensis
Xenophrys maosonensis,DD,Data Deficient,Megophrys maosonensis,114116699,2022-2,IUCN异名映射,Xenophrys maosonensis
Xenophrys medogensis,EN,Endangered,Megophrys medogensis,57645,2020-2,IUCN异名映射,Xenophrys medogensis
Xenophrys omeimontis,LC,Least Concern,Megophrys omeimontis,57648,2020-2,IUCN异名映射,Xenophrys omeimontis
Xenophrys pangdaensis,,,,,,,
Xenophrys periosa,EN,Endangered,Megophrys periosa,150087897,2023-1,IUCN现行名精确,Megophrys periosa
Xenophrys tongbiguanensis,,,,,,,
Xenophrys yingjiangensis,,,,,,,
Yaotriton anhuiensis,CR,Critically Endangered,Tylototriton anhuiensis,145401474,2020-2,IUCN现行名精确,Tylototriton anhuiensis
Yaotriton asperrimus,NT,Near Threatened,Tylototriton asperrimus,179064695,2021-3,IUCN异名映射,Yaotriton asperrimus
Yaotriton broadoridgus,VU,Vulnerable,Tylototriton broadoridgus,78586667,2022-2,IUCN异名映射,Yaotriton broadoridgus
Yaotriton liuyangensis,EN,Endangered,Tylototriton liuyangensis,78586709,2020-2,IUCN现行名精确,Tylototriton liuyangensis
Yerana yei,VU,Vulnerable,Quasipaa yei,58444,2020-2,IUCN异名映射,Yerana yei
Zhangixalus burmanus,LC,Least Concern,Zhangixalus burmanus,175773802,,IUCN现行名精确,Zhangixalus burmanus
Zhangixalus daweishanensis,,,,,,,
Zhangixalus dennysi,LC,Least Concern,Zhangixalus dennysi,88990424,2022-2,IUCN现行名精确,Zhangixalus dennysi
Zhangixalus franki,DD,Data Deficient,Zhangixalus franki,187595711,,IUCN现行名精确,Zhangixalus franki
Zhangixalus hongchibaensis,EN,Endangered,Zhangixalus hongchibaensis,79129190,2022-2,IUCN现行名精确,Zhangixalus hongchibaensis
Zhangixalus leucofasciatus,DD,Data Deficient,Zhangixalus leucofasciatus,88990198,2020-2,IUCN现行名精确,Zhangixalus leucofasciatus
Zhangixalus lishuiensis,DD,Data Deficient,Zhangixalus lishuiensis,145406260,2020-1,IUCN现行名精确,Zhangixalus lishuiensis
Zhangixalus minimus,NT,Near Threatened,Zhangixalus minimus,135910,2021-3,IUCN现行名精确,Zhangixalus minimus
Zhangixalus nigropunctatus,LC,Least Concern,Zhangixalus nigropunctatus,58960,2021-3,IUCN现行名精确,Zhangixalus nigropunctatus
Zhangixalus omeimontis,LC,Least Concern,Zhangixalus omeimontis,58961,2020-1,IUCN现行名精确,Zhangixalus omeimontis
Zhangixalus pachyproctus,,,,,,,
Zhangixalus pinglongensis,DD,Data Deficient,Zhangixalus pinglongensis,112693033,2022-1,IUCN现行名精确,Zhangixalus pinglongensis
Zhangixalus wui,VU,Vulnerable,Zhangixalus wui,88095621,2021-1,IUCN现行名精确,Zhangixalus wui
Zhangixalus zhoukaiyae,DD,Data Deficient,Zhangixalus zhoukaiyae,145419451,2020-2,IUCN现行名精确,Zhangixalus zhoukaiyae
