Class_CN,Chinese_name,Scientific_name,Protection_class,is_group,note
两栖纲,细痣瑶螈,Yaotriton asperrimus,二级,False,原名“细痣疣螈”
两栖纲,宽脊瑶螈,Yaotriton broadoridgus,二级,False,
两栖纲,大别瑶螈,Yaotriton dabienicus,二级,False,
两栖纲,海南瑶螈,Yaotriton hainanensis,二级,False,
两栖纲,浏阳瑶螈,Yaotriton liuyangensis,二级,False,
两栖纲,莽山瑶螈,Yaotriton lizhenchangi,二级,False,
两栖纲,文县瑶螈,Yaotriton wenxianensis,二级,False,
两栖纲,蔡氏瑶螈,Yaotriton ziegleri,二级,False,
两栖纲,镇海棘螈,Echinotriton chinhaiensis,一级,False,原名“镇海疣螈”
两栖纲,琉球棘螈,Echinotriton andersoni,二级,False,
两栖纲,高山棘螈,Echinotriton maxiquadratus,二级,False,
两栖纲,橙脊瘰螈,Paramesotriton aurantius,二级,False,
两栖纲,尾斑瘰螈,Paramesotriton caudopunctatus,二级,False,
两栖纲,中国瘰螈,Paramesotriton chinensis,二级,False,
两栖纲,越南瘰螈,Paramesotriton deloustali,二级,False,
两栖纲,富钟瘰螈,Paramesotriton fuzhongensis,二级,False,
两栖纲,广西瘰螈,Paramesotriton guangxiensis,二级,False,
两栖纲,香港瘰螈,Paramesotriton hongkongensis,二级,False,
两栖纲,无斑瘰螈,Paramesotriton labiatus,二级,False,
两栖纲,龙里瘰螈,Paramesotriton longliensis,二级,False,
两栖纲,茂兰瘰螈,Paramesotriton maolanensis,二级,False,
两栖纲,七溪岭瘰螈,Paramesotriton qixilingensis,二级,False,
两栖纲,武陵瘰螈,Paramesotriton wulingensis,二级,False,
两栖纲,云雾瘰螈,Paramesotriton yunwuensis,二级,False,
两栖纲,织金瘰螈,Paramesotriton zhijinensis,二级,False,
两栖纲,抱龙角蟾,Boulenophrys baolongensis,二级,False,
两栖纲,凉北齿蟾,Oreolalax liangbeiensis,二级,False,
两栖纲,金顶齿突蟾,Scutiger chintingensis,二级,False,
两栖纲,九龙齿突蟾,Scutiger jiulongensis,二级,False,
两栖纲,木里齿突蟾,Scutiger muliensis,二级,False,
两栖纲,宁陕齿突蟾,Scutiger ningshanensis,二级,False,
两栖纲,平武齿突蟾,Scutiger pingwuensis,二级,False,
两栖纲,哀牢髭蟾,Vibrissaphora ailaonica,二级,False,
两栖纲,峨眉髭蟾,Vibrissaphora boringii,二级,False,
两栖纲,雷山髭蟾,Vibrissaphora leishanensis,二级,False,
两栖纲,原髭蟾,Vibrissaphora promustache,二级,False,
两栖纲,南澳岛角蟾,Xenophrys insularis,二级,False,
两栖纲,水城角蟾,Xenophrys shuichengensis,二级,False,
两栖纲,史氏蟾蜍,Bufo stejnegeri,二级,False,
两栖纲,鳞皮小蟾,Parapelophryne scalpta,二级,False,
两栖纲,乐东蟾蜍,Qiongbufo ledongensis,二级,False,
两栖纲,无棘溪蟾,Bufo aspinius,二级,False,
两栖纲,虎纹蛙,Hoplobatrachus chinensis,二级,False,仅限野外种群
两栖纲,脆皮大头蛙,Limnonectes fragilis,二级,False,
两栖纲,叶氏肛刺蛙,Yerana yei,二级,False,
两栖纲,海南湍蛙,Amolops hainanensis,二级,False,
两栖纲,香港湍蛙,Amolops hongkongensis,二级,False,
两栖纲,小腺蛙,Glandirana minima,二级,False,
两栖纲,务川臭蛙,Odorrana wuchuanensis,二级,False,
两栖纲,巫溪树蛙,Rhacophorus hongchibaensis,二级,False,
两栖纲,老山树蛙,Rhacophorus laoshan,二级,False,
两栖纲,罗默刘树蛙,Liuixalus romeri,二级,False,
两栖纲,洪佛树蛙,Rhacophorus hungfuensis,二级,False,
