Source_row,Chinese_name_raw,Scientific_name_raw,Province_raw,Verdict,Reason,Source_citation
52,费氏短腿蟾,Brachytarsophrys feae,广西,事件表,省级新纪录事件（1省）,"莫运明,邹异.广西三种两栖动物的新记录[C]//中国动物学会两栖爬行学分会.中国动物学会两栖爬行动物学分会2005年学术研讨会暨会员代表大会论文集.吉林人民出版社,2005:97-100."
53,海南拟髭蟾,Leptobrachium hainanensis,广西,事件表,省级新纪录事件（1省）,"莫运明,邹异.广西三种两栖动物的新记录[C]//中国动物学会两栖爬行学分会.中国动物学会两栖爬行动物学分会2005年学术研讨会暨会员代表大会论文集.吉林人民出版社,2005:97-101."
54,黑眼睑小树蛙,Gracixalus gracilipes,广西,事件表,省级新纪录事件（1省）,"莫运明,邹异.广西三种两栖动物的新记录[C]//中国动物学会两栖爬行学分会.中国动物学会两栖爬行动物学分会2005年学术研讨会暨会员代表大会论文集.吉林人民出版社,2005:97-102."
55,昭觉林蛙,Rana chaochiaoensis,广西,事件表,省级新纪录事件（1省）,"陆宇燕、李丕鹏、蒋得斌、张建华、罗远周、王绍能 (2006). 广西两栖动物一新纪录—昭觉林蛙 四川动物, 25(2), 267"
56,锯尾蜥虎,Hemidactylus garnotii,广西,事件表,省级新纪录事件（1省）,"蒋爱伍、周放、陆舟、韩小静、李相林 (2006). 广西壁虎科分布新记录———锯尾蜥虎 四川动物, 25(2), 268"
57,疣尾蜥虎,Hemidactylus f renatus,广西,事件表,省级新纪录事件（1省）,"周放,余丽江,徐蕴丽.广西壁虎科分布新记录——疣尾蜥虎[J].四川动物,2003,(4):234-235."
58,长吻湍蛙,Amolops nasica,广西,排除,记录类型为'其他新纪录/再发现'等，未纳入省级新纪录事件表,"邓学建,卢立.广西大明山自然保护区两栖动物资源调查报告[J].湖南环境生物职业技术学院学报,2003,(1):21-25."
59,斑腿树蛙,Polypedates leucomystax,广西,排除,记录类型为'其他新纪录/再发现'等，未纳入省级新纪录事件表,"邓学建,卢立.广西大明山自然保护区两栖动物资源调查报告[J].湖南环境生物职业技术学院学报,2003,(1):21-26."
60,淡肩角蟾,Boulenophrys boettgeri,福建,终审:排除-伴随物种（省内已知）,记录类型无法判定（原表未标注且引用无线索）,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017"
61,方花小头蛇,Oligodon bellus,广西,事件表,省级新纪录事件（1省）,"蒋爱伍、周放、刘宏、王绍能 (2006). 广西蛇类一新记录———方花小头蛇 四川动物, 25(2), 271"
62,四川华蝮,Sinovipera sichuanensis,广西,事件表,省级新纪录事件（1省）,"黄俊杰、吴帝豪、任金龙、李家堂、蒋珂 (2023). 广西蛇类新记录——四川华蝮及半阴茎形态描述 四川动物, 42(3), 292-293"
63,双团棘胸蛙,Paa yunnanensis,广西,事件表,省级新纪录事件（1省）,"周放、余丽江、覃建欢、韦智毅、田发聪、韩小静 (2006). 广西龙滩自然保护区的两栖爬行动物 四川动物, 25(2), 298-300"
64,棕背树蜥,Calotes emma,广西,事件表,省级新纪录事件（1省）,"周放、余丽江、覃建欢、韦智毅、田发聪、韩小静 (2006). 广西龙滩自然保护区的两栖爬行动物 四川动物, 25(2), 298-300"
65,脆蛇蜥,Ophisaurus harti,四川,事件表,省级新纪录事件（1省）,"吴光举、朱洁、肖立、王本菊 (2001). 攀枝花市蜥蜴类一新记录---脆蛇蜥 四川动物, 20(3), 147-147"
66,湖蛙,,新疆,事件表,省级新纪录事件（1省）,
