ID,Source_row,Class_CN,Chinese_name_COL_China_2026,Scientific_name_COL_China_2026,Chinese_name_as_published,Scientific_name_as_published,OrderCN_COL_China_2026,FamilyLA,FamilyCN,GenusLA,GenusCN,Type_locality,Province,Longitude,Latitude,Altitude_raw,Discovery_date,Habitat_raw,Voucher,Evidence_type,Source_citation,Source_publication_year,Source_authors,Source_journal,DOI
105,815,两栖纲,云雾瘰螈,Paramesotriton yunwuensis,云雾瘰螈,Paramesotriton yunwuensis,有尾目,Salamandridae,蝾螈科,Paramesotriton,瘰螈属,广东省罗定市附城镇南冲村附近山溪水潭,广东,111.1667,22.6167,525,,山溪水潭,"CIB 97854 (holotype); CIB 95336–95339, 97853, 97855–97856, 97950 (paratypes)",标本,"YUNKE WU and KE JIANG and JAMES HANKEN (2010). A new species of newt of the genus Paramesotriton (Salamandridae) from southwestern Guangdong, China, with a new northern record of P. longliensis from western Hubei Zootaxa, 2494, 45–58",2010,"Yunke Wu, Ke Jiang, James Hanken",Zootaxa,
106,817,两栖纲,侏树蛙,Zhangixalus minimus,广西小树蛙,Rhacophorus minimus,无尾目,Rhacophoridae,树蛙科,Zhangixalus,张树蛙属,"十里公里里,金秀镇至蒙山公路16公里处的小村庄,大瑶山",广西,110.2407,24.1423,900,2003-04-10,未受干扰的季风常绿阔叶林;浅水池塘和当地人用于诱捕鸟类的木制托盘;草丛和阔叶树上,"KIZ 2003GXJX0021 (holotype); KIZ 2003GXJX001, 2003GXJX003-06, 2003GXJX008-20, 2003GXJX0022-23, CAS 232043-44 (paratypes); KIZ 2003GXJX0024-32 (paratypes)",标本,"DING-QI RAO、JEFFERY A. WILKINSON & HUI-NING LIU (2006). A new species of Rhacophorus (Anura: Rhacophoridae) from Guangxi Province, China Zootaxa, 1258, 17–31",2006,"Ding-Qi Rao, Jeffery A. Wilkinson, Hui-Ning Liu",Zootaxa,
107,820,爬行纲,凉山滑蜥,Scincella liangshanensis,凉山滑蜥,Scincella liangshanensis,有鳞目,Scincidae,石龙子科,Scincella,滑蜥属,"越西县和美姑县,凉山彝族自治州",四川,102.7,28.5,,,,"CIB 6987 (holotype); CIB 6980, CIB 6983, CIB 6986, CIB 7026, CIB 7112, CIB 7144, CIB 7192, CIB 7193, CIB 7197, CIB 7200, CIB 7205, CIB 7210, CIB 6977, CIB 119514, CIB 119513 (paratypes); CBC 02546",标本,"Ruwan JIA and Zongyuan GAO and Dihao WU and Jinlong REN and Dechun JIANG and Wei WU (2024). A New Species of the Genus Scincella Mittleman, 1950 (Squamata: Scincidae) from Sichuan Province, Southwest China Asian Herpetological Research, 15(2), 115–129 https://doi.org/10.3724/ahr.2095-0357.2024.0016",2024,"Ruwan JIA, Zongyuan GAO, Dihao WU, Jinlong REN, Dechun JIANG, Wei WU",Asian Herpetological Research,10.3724/ahr.2095-0357.2024.0016
108,825,两栖纲,刺疣齿突蟾,Scutiger spinosus,刺疣齿蟾,Scutiger spinosus,无尾目,Megophryidae,角蟾科,Scutiger,齿突蟾属,墨脱62K,西藏,95.5822,29.7093,2705,2011-06-07,高海拔山地生境,"Holotype: KIZ 011114; Paratypes: KIZ 011113, KIZ 011093, KIZ 011100, KIZ 012645, KIZ 012647, KIZ 012648, KIZ 012646, KIZ 013862, KIZ 013863, KIZ 013864, KIZ 013865, KIZ 013866, KIZ 013867, KIZ 013868, KIZ 013869",标本,"Ke JIANG and Kai WANG and Da-Hu ZOU and Fang YAN and Pi-Peng LI and Jing CHE (2016). A new species of the genus Scutiger (Anura: Megophryidae) from Medog of southeastern Tibet, China Zoological Research, 37(1), 21-30 https://doi.org/10.13918/j.issn.2095-8137.2016.1.21",2016,"Ke JIANG, Kai WANG, Da-Hu ZOU, Fang YAN, Pi-Peng LI, Jing CHE",Zoological Research,10.13918/j.issn.2095-8137.2016.1.21
109,828,爬行纲,广西华珊瑚蛇,Sinomicrurus peinani,广西华珊瑚蛇,Sinomicrurus peinani,有鳞目,Elapidae,眼镜蛇科,Sinomicrurus,中华珊瑚蛇属,苍梧县,广西,111.56,23.65,30,2016-06-05,,"YBU 16086 (holotype); YBU 16054, YBU 16066, YBU 16067 (paratypes)",标本,"Slowinski, Boundy, and Lawson (2001). A new species of the genus Sinomicrurus (Serpentes: Elapidae) from China and Vietnam https://doi.org/10.24272/j.issn.2095-8137.2020.023",2001,"Peng Guo, Jing Che",,10.24272/j.issn.2095-8137.2020.023
110,832,爬行纲,云开草蜥,Takydromus yunkaiensis,云开草蜥,Takydromus yunkaiensis,有鳞目,Lacertidae,蜥蜴科,Takydromus,草蜥属,广东云开山国家级自然保护区大雾岭林业站,广东,111.1952,22.2758,1500,2016-04-14,保存完好的山地常绿阔叶林或混交林,"SYS r001580 (holotype); SYS r001439, 001442, 001684, 001434, 001507, 001581, 001901 (paratypes)",标本,"Jian Wang and Zhi-Tong Lyu and Chen-Yu Yang and Yu-Long Li and Ying-Yong Wang (2019). A new species of the genus Takydromus (Squamata, Lacertidae) from southwestern Guangdong, China ZooKeys, 871, 119–139 https://doi.org/10.3897/zookeys.871.35947",2019,"Wang, Jian, Lyu, Zhi-Tong, Yang, Chen-Yu, Li, Yu-Long, Wang, Ying-Yong",ZooKeys,10.3897/zookeys.871.35947
111,835,两栖纲,宽脊瑶螈,Yaotriton broadoridgus,宽脊瘰螈,Tylototriton broadoridgus,有尾目,Salamandridae,蝾螈科,Yaotriton,瑶螈属,湖南省桑植县天平山廖叶湾,湖南,110.15,29.8167,,,,"HNUL 840513527 (holotype, ♂); HNUL 841000606 (allotype, ♀); HNUL 88050001, 840513506–840513508, 080721A6, 840513513–840513524, 840513528–840513533 (paratypes, 34 ♂)",标本,"Youhui SHEN and Jianping JIANG and Xiaoyang MO (2012). A New Species of the Genus Tylototriton (Amphibia, Salamandridae) from Hunan, China Asian Herpetological Research, 3(1), 21–30 https://doi.org/10.3724/SP.J.1245.2012.00021",2012,"Youhui SHEN, Jianping JIANG, Xiaoyang MO",Asian Herpetological Research,10.3724/SP.J.1245.2012.00021
112,836,两栖纲,原髭蟾,Vibrissaphora promustache,须髭蟾,Vibrissaphora promustache,无尾目,Megophryidae,角蟾科,Vibrissaphora,髭蟾属,中国云南省屏边县大围山,云南,103.6959,22.9079,2089,2003-11-28,"大围山山顶附近的森林溪流;溪流中等大小、流速缓慢;傍晚、夜间和清晨湿度约90%,中午58%;水温11–12°C","Holotype: KIZ 03005; Paratypes: KIZ 03001, 03002, 03003, 03004, 03006, 03008, 03009",标本,"DING-QI RAO, JEFFERY A. WILKINSON, AND MING-WAN ZHANG (2006). A NEW SPECIES OF THE GENUS VIBRISSAPHORA (ANURA: MEGOPHRYIDAE) FROM YUNNAN PROVINCE, CHINA Herpetologica, 62(1), 90–95",2006,"Ding-Qi Rao, Jeffery A. Wilkinson, Ming-Wan Zhang",Herpetologica,
113,838,两栖纲,,,日本北爪鲵,Onychodactylus nipponoborealis,有尾目,Hynobiidae,小鲵科,Onychodactylus,爪鲵属,,,,,,,,,照片/影像,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,"Nikolay A. Poyarkov, Jr., Jing Che, Mi-Sook Min, Masaki Kuro-o, Fang Yan, Cheng Li, Koji Iizuka, David R. Vieites",Zootaxa,
114,839,两栖纲,辽宁爪鲵,Onychodactylus zhaoermii,赵尔宓爪鲵,Onychodactylus zhaoermii,有尾目,Hynobiidae,小鲵科,Onychodactylus,爪鲵属,,,,,,,,,照片/影像,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,"Nikolay A. Poyarkov, Jr., Jing Che, Mi-Sook Min, Masaki Kuro-o, Fang Yan, Cheng Li, Koji Iizuka, David R. Vieites",Zootaxa,
115,841,两栖纲,贺州肥螈/吴氏肥螈,Pachytriton wuguanfui,吴冠甫肥螈,Pachytriton wuguanfui,有尾目,Salamandridae,蝾螈科,Pachytriton,肥螈属,广西贺州市姑婆山;湖南省道县茶花坪,广西、湖南,111.53,24.64,1202,,阔叶林中的小型山溪,"KIZ08758 (holotype); KIZ08755–08757, 08759, KIZ021705–06, 021708, 021711, 021712, KIZ021832, 021833–35 (paratypes)",标本,"ZHI-YONG YUAN & BAO-LIN ZHANG & JING CHE (2016). A new species of the genus Pachytriton (Caudata: Salamandridae) from Hunan and Guangxi, southeastern China Zootaxa, 4085(2), 219–232 https://doi.org/10.11646/zootaxa.4085.2.3",2016,"Zhi-Yong Yuan, Bao-Lin Zhang, Jing Che",Zootaxa,10.11646/zootaxa.4085.2.3
116,850,两栖纲,封开角蟾,Boulenophrys acuta,尖喙角蟾,Megophrys acuta,无尾目,Megophryidae,角蟾科,Boulenophrys,布角蟾属,黑石顶自然保护区,广东,111.8981,23.4742,277.1,2013-08-15,广东省黑石顶自然保护区模式产地的栖息地,"SYS a002267 (holotype); SYS a002266–2269, 2276, a002159, a000168, a002274 (paratypes)",标本,"YU-LONG LI、MENG-JIE JIN、JIAN ZHAO、ZU-YAO LIU、YING-YONG WANG & HONG PANG (2014). Description of two new species of the genus Megophrys (Amphibia: Anura: Megophryidae) from Heishiding Nature Reserve, Fengkai, Guangdong, China, based on molecular and morphological data Zootaxa, 3795(4), 449–471 https://doi.org/10.11646/zootaxa.3795.4.5",2014,"Yu-Long Li, Meng-Jie Jin, Jian Zhao, Zu-Yao Liu, Ying-Yong Wang, Hong Pang",Zootaxa,10.11646/zootaxa.3795.4.5
117,851,两栖纲,黑石顶角蟾,Boulenophrys obesa,肥角蟾,Megophrys obesa,无尾目,Megophryidae,角蟾科,Boulenophrys,布角蟾属,黑石顶自然保护区,广东,111.8,23.4167,,,,,标本,"YU-LONG LI、MENG-JIE JIN、JIAN ZHAO、ZU-YAO LIU、YING-YONG WANG & HONG PANG (2014). Description of two new species of the genus Megophrys (Amphibia: Anura: Megophryidae) from Heishiding Nature Reserve, Fengkai, Guangdong, China, based on molecular and morphological data Zootaxa, 3795(4), 449–471 https://doi.org/10.11646/zootaxa.3795.4.5",2014,"Yu-Long Li, Meng-Jie Jin, Jian Zhao, Zu-Yao Liu, Ying-Yong Wang, Hong Pang",Zootaxa,10.11646/zootaxa.3795.4.5
118,856,两栖纲,巫溪树蛙,Zhangixalus hongchibaensis,红池坝树蛙,Rhacophorus hongchibaensis,无尾目,Rhacophoridae,树蛙科,Zhangixalus,张树蛙属,中国重庆红池坝,重庆,109.55,31.55,,,,,标本,"JIA-TANG LI and JUN LIU and YUE-YING CHEN and JIA-WEI WU and ROBERT W. MURPHY and ER-MI ZHAO and YUE-ZHAO WANG and YA-PING ZHANG (2012). Molecular phylogeny of treefrogs in the Rhacophorus dugritei species complex (Anura: Rhacophoridae), with descriptions of two new species Zoological Journal of the Linnean Society, 165, 143–162 https://doi.org/10.1111/j.1096-3642.2011.00790.x",2012,"JIA-TANG LI, JUN LIU, YUE-YING CHEN, JIA-WEI WU, ROBERT W. MURPHY, ER-MI ZHAO, YUE-ZHAO WANG, YA-PING ZHANG",Zoological Journal of the Linnean Society,10.1111/j.1096-3642.2011.00790.x
119,857,两栖纲,利川树蛙,Zhangixalus wui,吴氏树蛙,Rhacophorus wui,无尾目,Rhacophoridae,树蛙科,Zhangixalus,张树蛙属,中国湖北利川,湖北,108.95,30.3,,,,,标本,"JIA-TANG LI and JUN LIU and YUE-YING CHEN and JIA-WEI WU and ROBERT W. MURPHY and ER-MI ZHAO and YUE-ZHAO WANG and YA-PING ZHANG (2012). Molecular phylogeny of treefrogs in the Rhacophorus dugritei species complex (Anura: Rhacophoridae), with descriptions of two new species Zoological Journal of the Linnean Society, 165, 143–162 https://doi.org/10.1111/j.1096-3642.2011.00790.x",2012,"JIA-TANG LI, JUN LIU, YUE-YING CHEN, JIA-WEI WU, ROBERT W. MURPHY, ER-MI ZHAO, YUE-ZHAO WANG, YA-PING ZHANG",Zoological Journal of the Linnean Society,10.1111/j.1096-3642.2011.00790.x
120,858,两栖纲,峨眉树蛙,Zhangixalus omeimontis,峨眉树蛙,Rhacophorus dugritei,无尾目,Rhacophoridae,树蛙科,Zhangixalus,张树蛙属,中国四川宝兴县穆坪,四川,102.8333,30.3833,,,,,照片/影像,"JIA-TANG LI and JUN LIU and YUE-YING CHEN and JIA-WEI WU and ROBERT W. MURPHY and ER-MI ZHAO and YUE-ZHAO WANG and YA-PING ZHANG (2012). Molecular phylogeny of treefrogs in the Rhacophorus dugritei species complex (Anura: Rhacophoridae), with descriptions of two new species Zoological Journal of the Linnean Society, 165, 143–162 https://doi.org/10.1111/j.1096-3642.2011.00790.x",2012,"JIA-TANG LI, JUN LIU, YUE-YING CHEN, JIA-WEI WU, ROBERT W. MURPHY, ER-MI ZHAO, YUE-ZHAO WANG, YA-PING ZHANG",Zoological Journal of the Linnean Society,10.1111/j.1096-3642.2011.00790.x
121,875,两栖纲,广东纤树蛙,Gracixalus guangdongensis,广东纤树蛙,Gracixalus guangdongensis,无尾目,Rhacophoridae,树蛙科,Gracixalus,纤树蛙属,大雾岭林场、南昆山和南岭自然保护区,广东,111.214,22.292,1600,2016-04-15,,"SYS a005724 (holotype); SYS a004686, SYS a004698, SYS a004672–4673, SYS a004685, 4687–4689, SYS a004983/CIB106882, SYS a005241 (paratypes); SYS a004671 (referred specimen)",标本,"JIAN WANG & ZHAO-CHI ZENG, ZHI-TONG LYU, ZU-YAO LIU & YING-YONG WANG (2018). Description of a new species of Gracixalus (Amphibia: Anura: Rhacophoridae) from Guangdong Province, southeastern China Zootaxa, 4420(2), 251–269 https://doi.org/10.11646/zootaxa.4420.2.7",2018,"Jian Wang, Zhao-Chi Zeng, Zhi-Tong Lyu, Zu-Yao Liu, Ying-Yong Wang",Zootaxa,10.11646/zootaxa.4420.2.7
122,883,两栖纲,弄岗狭口蛙,Kaloula nonggangensis,弄岗狭口蛙,Kaloula nonggangensis,无尾目,Microhylidae,姬蛙科,Kaloula,狭口蛙属,中国广西壮族自治区南部弄岗国家级自然保护区,广西,106.9354,22.4522,186,,喀斯特生境中从邻近森林的耕地至原始常绿林,"NHMG1106036 (holotype); NHMG1106030–35, NHMG1106037–41, NHMG1108035, NHMG1108036–41 (paratypes)",标本,"YUNMING MO and WEI ZHANG and SHICHU ZHOU and TIANBO CHEN and HUAXING TANG and YUANJUN MENG and WEICAI CHEN (2013). A new species of Kaloula (Amphibia: Anura: Microhylidae) from southern Guangxi, China Zootaxa, 3710(2), 165–178 https://doi.org/10.11646/zootaxa.3710.2.3",2013,"Yunming Mo, Wei Zhang, Shichu Zhou, Tianbo Chen, Huaxing Tang, Yuanjun Meng, Weicai Chen",Zootaxa,10.11646/zootaxa.3710.2.3
123,886,两栖纲,文山湍蛙,Amolops wenshanensis,文山湍蛙,Amolops wenshanensis,无尾目,Ranidae,蛙科,Amolops,湍蛙属,"文山国家级自然保护区,西畴县平寨村附近;靖西县地定村",云南、广西,104.839,23.362,1312,2004-09-23,小型山地溪流,"KIZ 021426 (holotype); KIZ 021425, KIZ 021428-30, KIZ 021435, KU 292041, KU 292040, KU 292045, KU 292039, KU 292042 (paratypes)",标本,"ZHIYONG YUAN and JIEQIONG JIN and JIANNAN LI and BRYAN L. STUART & JUN WU (2018). A new species of cascade frog (Amphibia: Ranidae) in the Amolops monticola group from China Zootaxa, 4415(3), 498–512 https://doi.org/10.11646/zootaxa.4415.3.5",2018,"Zhiyong Yuan, Jieqiong Jin, Jiannan Li, Bryan L. Stuart, Jun Wu",Zootaxa,10.11646/zootaxa.4415.3.5
124,893,两栖纲,赤水角蟾,Boulenophrys chishuiensis,赤水角蟾,Megophrys chishuiensis,无尾目,Megophryidae,角蟾科,Boulenophrys,布角蟾属,中国贵州省赤水市赤水国家级自然保护区,贵州,105.9978,28.4367,460,2019-05-18,溪流附近的竹林,"Holotype: CIBCS20190518031; Paratypes: CIBCS20190518022, CIBCS20190518023, CIBCS20190518019, CIBCS20190518021, CIBCS20190518025, CIBCS20190518027, CIBCS20190518030",标本,"Ning Xu and Shi-Ze Li and Jing Liu and Gang Wei and Bin Wang (2020). A new species of the horned toad Megophrys Kuhl & Van Hasselt, 1822 (Anura, Megophryidae) from southwest China ZooKeys, 943, 119–144 https://doi.org/10.3897/zookeys.943.50343",2020,"Xu, Ning, Li, Shi-Ze, Liu, Jing, Wei, Gang, Wang, Bin",ZooKeys,10.3897/zookeys.943.50343
125,902,两栖纲,九岭山林蛙,Rana jiulingensis,九岭山林蛙,Rana jiulingensis,无尾目,Ranidae,蛙科,Rana,蛙属,官山自然保护区,江西,114.5878,28.5535,300,2016-09-14,亚热带常绿阔叶林,"SYS a005519 (holotype); SYS a002584–2585, a005511, a006494–6496 (paratypes)",标本,"Han Wan and Zhi-Tong Lyu and Shuo Qi and Jian Zhao and Pi-Peng Li and Ying-Yong Wang (2020). A new species of the Rana japonica group (Anura, Ranidae, Rana) from China, with a taxonomic proposal for the R. johnsi group ZooKeys, 942, 141–158 https://doi.org/10.3897/zookeys.942.46928",2020,"Wan H, Lyu Z-T, Qi S, Zhao J, Li P-P, Wang Y-Y",ZooKeys,10.3897/zookeys.942.46928
126,904,两栖纲,梵净山姬蛙,Microhyla fanjingshanensis,梵净山小姬蛙,Microhyla fanjingshanensis,无尾目,Microhylidae,姬蛙科,Microhyla,姬蛙属,贵州省印江土家族苗族自治县梵净山,贵州,108.7,27.92,,,,twelve adult specimens (two females and ten males),标本,"SHIZE LI and MEIHUA ZHANG and NING XU and JINGCAI LV and JIANPING JIANG and JING LIU and GANG WEI & BIN WANG (2019). A new species of the genus Microhyla (Amphibia: Anura: Microhylidae) from Guizhou Province, China Zootaxa, 4624(4), 551–575 https://doi.org/10.11646/zootaxa.4624.4.7",2019,"Shize Li, Meihua Zhang, Ning Xu, Jingcai Lv, Jianping Jiang, Jing Liu, Gang Wei, Bin Wang",Zootaxa,10.11646/zootaxa.4624.4.7
127,908,两栖纲,棘疣角蟾,Boulenophrys tuberogranulatus,瘤疣角蟾,Megophrys tuberogranulatus,无尾目,Megophryidae,角蟾科,Boulenophrys,布角蟾属,湖南省桑植县天子山自然保护区,湖南,110.3333,29.3333,1130,1988-08,自然保护区内山地森林,"Holotype HNUL 03080902; Allotype HNUL 880800853; Paratypes HNUL 03080904, 880800851, 880800852, 880700751, 880700752, 880700753, 88062801, 88062802",标本,"Xiaoyang MO and Youhui SHEN and Honghui LI and Xiushan WU (2010). A new species of Megophrys (Amphibia: Anura: Megophryidae) from the northwestern Hunan Province, China Current Zoology, 56(4), 432-436",2010,"Xiaoyang MO, Youhui SHEN, Honghui LI, Xiushan WU",Current Zoology,
128,911,两栖纲,水城湍蛙,Amolops shuichengicus,水城湍蛙,Amolops shuichengicus,无尾目,Ranidae,蛙科,Amolops,湍蛙属,玉舍森林公园,贵州,104.8,26.47,2041,2016-06-21,,"SYS a007151 (holotype); SYS a004956–4958, SYS a004971, SYS a004972, SYS a007152/CIB 106883, SYS a007154–7158 (paratypes)",标本,"ZHI-TONG LYU, ZHAO-CHI ZENG, HAN WAN, JIAN-HUAN YANG, YU-LONG LI, HONG PANG & YING-YONG WANG (2019). A new species of Amolops (Anura: Ranidae) from China, with taxonomic comments on A. liangshanensis and Chinese populations of A. marmoratus Zootaxa, 4609(2), 247–268 https://doi.org/10.11646/zootaxa.4609.2.3",2019,"Lyu, Zhi-Tong, Wang, Yu-Long",Zootaxa,10.11646/zootaxa.4609.2.3
129,918,两栖纲,越南林蛙/越南趾沟蛙,Rana johnsi,越南林蛙,Rana johnsi,无尾目,Ranidae,蛙科,Rana,蛙属,,,,,,,,,照片/影像,"Han Wan and Zhi-Tong Lyu and Shuo Qi and Jian Zhao and Pi-Peng Li and Ying-Yong Wang (2020). A new species of the Rana japonica group (Anura, Ranidae, Rana) from China, with a taxonomic proposal for the R. johnsi group ZooKeys, 942, 141–158 https://doi.org/10.3897/zookeys.942.46928",2020,"Wan H, Lyu Z-T, Qi S, Zhao J, Li P-P, Wang Y-Y",ZooKeys,10.3897/zookeys.942.46928
130,921,两栖纲,猫儿山掌突蟾,Paramegophrys maoershanensis,猫儿山掌突蟾,Leptolalax maoershanensis,无尾目,Megophryidae,角蟾科,Paramegophrys,掌突蟾属,中国广西资源县猫儿山自然保护区鞍塘坪,广西,110.4652,25.9116,1575,2015-06-05,山地小型竹林,"KIZ046696 (holotype); KIZ019385–86, KIZ045758, KIZ046698–700, KIZ027229, KIZ019384, KIZ027230–41, KIZ046643, KIZ027234 (paratypes)",标本,"ZHIYONG YUAN and RUIDA SUN and JINMIN CHEN and JODI J. L. ROWLEY and ZHENGJUN WU and SHAOBING HOU and SHAONENG WANG & JING CHE (2017). A new species of the genus Leptolalax (Anura: Megophryidae) from Guangxi, China Zootaxa, 4300(4), 551–570 https://doi.org/10.11646/zootaxa.4300.4.5",2017,"Zhiyong Yuan, Ruida Sun, Jinmin Chen, Jodi J. L. Rowley, Jing Che",Zootaxa,10.11646/zootaxa.4300.4.5
131,931,两栖纲,突肛树蛙,Zhangixalus pachyproctus,厚肛张树蛙,Zhangixalus pachyproctus,无尾目,Rhacophoridae,树蛙科,Zhangixalus,张树蛙属,补蚌村,云南,101.5853,21.6149,684,2016-06-09,,"KIZ 20160119 (holotype); KIZ 20160118, KIZ 20160122, KIZ 20160123, KIZ 090148, KIZ 090149, KIZ 20160126, KIZ 20160219–20160221 (paratypes)",标本,"GUOHUA YU and HONG HUI and MIAN HOU and ZHENGJUN WU and DINGQI RAO & JUNXING YANG (2019). A new species of Zhangixalus (Anura: Rhacophoridae), previously confused with Zhangixalus smaragdinus (Blyth, 1852) Zootaxa, 4711(2), 275–292 https://doi.org/10.11646/zootaxa.4711.2.3",2019,"Guohua Yu, Hong Hui, Mian Hou, Zhengjun Wu, Dingqi Rao, Junxing Yang",Zootaxa,10.11646/zootaxa.4711.2.3
132,935,两栖纲,龙门山齿蟾,Oreolalax longmenmontis,龙门山齿蟾,Oreolalax longmenmontis,无尾目,Megophryidae,角蟾科,Oreolalax,齿蟾属,四川省彭州市白河国家级自然保护区下家沟,四川,103.8662,31.2934,1300,2018-05-27,"亚热带常绿阔叶林,常见于山溪中的水塘附近","CIB20180522001 (holotype); CIB20180526001, CIB20180527002 (paratypes)",标本,"Yinmeng Hou and Shengchao Shi and Daming Hu and Yue Deng and Jianping Jiang and Feng Xie and Bin Wang (2020). A new species of the toothed toad Oreolalax (Anura, Megophryidae) from Sichuan Province, China ZooKeys, 929, 93–115 https://doi.org/10.3897/zookeys.929.49748",2020,"Hou Y, Shi S, Hu D, Deng Y, Jiang J, Xie F, Wang B",ZooKeys,10.3897/zookeys.929.49748
133,951,爬行纲,,,勐腊钝头蛇,Pareas menglaensis,有鳞目,Pareidae,钝头蛇科,Pareas,钝头蛇属,中国云南省勐腊县,云南,101.5667,21.4833,700,2012-07,"低山常绿阔叶林,热带季风气候类型","YBU 14124 (holotype); YBU 14141, YBU 14142 (paratypes)",标本,"Ping Wang and Jing Che and Qin Liu and Ke Li and Jie Qiong Jin and Ke Jiang and Lei Shi and Peng Guo (2020). A revised taxonomy of Asian snail-eating snakes Pareas (Squamata, Pareidae): evidence from morphological comparison and molecular phylogeny ZooKeys, 939, 45–64 https://doi.org/10.3897/zookeys.939.49309",2020,"Ping Wang, Jing Che, Qin Liu, Ke Li, Jie Qiong Jin, Ke Jiang, Lei Shi, Peng Guo",ZooKeys,10.3897/zookeys.939.49309
134,952,爬行纲,,,蒙自钝头蛇,Pareas mengziensis,有鳞目,Pareidae,钝头蛇科,Pareas,钝头蛇属,中国云南省蒙自市,云南,103.3944,23.3639,1900,2014-07,"落叶阔叶林,亚热带季风气候","YBU 14252 (holotype); YBU 141251, YBU 15100, YBU 14253, YBU 14288, YBU 15114 (paratypes)",标本,"Ping Wang and Jing Che and Qin Liu and Ke Li and Jie Qiong Jin and Ke Jiang and Lei Shi and Peng Guo (2020). A revised taxonomy of Asian snail-eating snakes Pareas (Squamata, Pareidae): evidence from morphological comparison and molecular phylogeny ZooKeys, 939, 45–64 https://doi.org/10.3897/zookeys.939.49309",2020,"Ping Wang, Jing Che, Qin Liu, Ke Li, Jie Qiong Jin, Ke Jiang, Lei Shi, Peng Guo",ZooKeys,10.3897/zookeys.939.49309
135,960,爬行纲,格致睑虎,Goniurosaurus gezhi,格氏弓背守宫,Goniurosaurus gezhi,有鳞目,Eublepharidae,睑虎科,Goniurosaurus,睑虎属,"中国广西壮族自治区西南部,因保护原因未公开确切地点",广西,107.0,22.5,150,,夜间栖息于石灰岩缝隙;农田附近的道路,"ECNU-V0038 (holotype), ECNU-V0040, ECNU-V0042 (paratypes)",标本,"XIAO-YU ZHU and GUANG-YU CHEN and CRISTIAN ROMÁN-PALACIOS and ZHENG LI and ZHU-QING HE (2020). Goniurosaurus gezhi sp. nov., a new gecko species from Guangxi, China (Squamata: Eublepharidae) Zootaxa, 4852(2), 211–222 https://doi.org/10.11646/zootaxa.4852.2.6",2020,"Zhu, Xiao-Yu, He, Zhu-Qing, Li, Jian",Zootaxa,10.11646/zootaxa.4852.2.6
136,967,爬行纲,大壁虎,Gekko gecko,大壁虎,Gekko gecko,有鳞目,Gekkonidae,壁虎科,Gekko,壁虎属,中国广西西南部石灰岩地区,广西,106.8,22.5,,,石灰岩地区,,照片/影像,"XIAO-YU ZHU and GUANG-YU CHEN and CRISTIAN ROMÁN-PALACIOS and ZHENG LI and ZHU-QING HE (2020). Goniurosaurus gezhi sp. nov., a new gecko species from Guangxi, China (Squamata: Eublepharidae) Zootaxa, 4852(2), 211–222 https://doi.org/10.11646/zootaxa.4852.2.6",2020,"Zhu, Xiao-Yu, He, Zhu-Qing, Li, Jian",Zootaxa,10.11646/zootaxa.4852.2.6
137,969,爬行纲,诚正睑虎,Goniurosaurus chengzheng,程政睑虎,Goniurosaurus chengzheng,有鳞目,Eublepharidae,睑虎科,Goniurosaurus,睑虎属,中国广西中部,广西,108.5,23.8,100-250,2018-07,落水洞附近的石灰岩和土壤坡地,"ECNU-V0090 (holotype), ECNU-V0068 (paratype)",标本,"XIAO-YU ZHU and YI-JIAO LIU and YUN BAI and CRISTIAN ROMÁN-PALACIOS and ZHENG LI and ZHU-QING HE (2021). Goniurosaurus chengzheng sp. nov., a new species of Leopard Gecko from Guangxi, China (Squamata: Eublepharidae) Zootaxa, 4996(3), 555–568 https://doi.org/10.11646/zootaxa.4996.3.8",2021,"Xiao-Yu Zhu, Yi-Jiao Liu, Yun Bai, Cristian Román-Palacios, Zheng Li, Zhu-Qing He",Zootaxa,10.11646/zootaxa.4996.3.8
138,970,两栖纲,吉林爪鲵,Onychodactylus zhangyapingi,张亚平爪鲵,Onychodactylus zhangyapingi,有尾目,Hynobiidae,小鲵科,Onychodactylus,爪鲵属,长白山地区,吉林,128.0,42.0,250,,山地混交阔叶林和针叶林;流动泉水和山间小溪上游,,照片/影像,IUCN SSC Amphibian Specialist Group (2020). Onychodactylus zhangyapingi The IUCN Red List of Threatened Species https://doi.org/10.2305/IUCN.UK.2020-3.RLTS.T79100197A122172407.en,2020,"Che, J., Poyarkov, N.A., Yan, F.",Zootaxa,10.2305/IUCN.UK.2020-3.RLTS.T79100197A122172407.en
